대중교통,역(정류장),호선명,노선(수),x_좌표,y_좌표,지하철_여부,버스_여부,따릉이_여부,동_이름,GID,NODE_ID,주소,도로명,버스정류장ARS번호,총승차인원,총하차인원
버스,금남시장앞.백범학원터,,7,127.0224878,37.54828876,N,Y,N,금호동4가,11200112,103000055.0,서울 성동구 금호동3가 420-1,-,4154.0,35592.0,37858.0
버스,금남시장앞.백범학원터,,1,127.021648,37.54827449,N,Y,N,금호동3가,11200111,103900009.0,서울 성동구 금호동4가 576-1,-,4751.0,3912.0,5116.0
버스,금봉어린이집.또또와마트,,1,127.0288091,37.55290619,N,Y,N,금호동1가,11200109,103900047.0,서울 성동구 금호동1가 산 37-1,서울특별시 성동구 독서당로57가길 24 (금호동1가),4575.0,1501.0,454.0
버스,금봉어린이집.또또와마트,,1,127.0287944,37.55264238,N,Y,N,금호동1가,11200109,103900060.0,서울 성동구 금호동1가 산 37-1,서울특별시 성동구 독서당로57가길 24 (금호동1가),4686.0,1522.0,2793.0
버스,금북초등학교.e편한세상금호105동,,2,127.0237361,37.55553782,N,Y,N,금호동1가,11200109,103900120.0,서울 성동구 금호동1가 1823,"서울특별시 성동구 금호로 140 (금호동1가, 이편한세상금호파크힐스)",4515.0,1249.0,1659.0
버스,금북초등학교입구,,1,127.0236162,37.55565589,N,Y,N,금호동1가,11200109,103900196.0,서울 성동구 금호동1가 168-81,-,4827.0,556.0,509.0
버스,금옥초등학교.금호대우아파트,,1,127.0186519,37.54658996,N,Y,N,금호동4가,11200112,105000466.0,서울 성동구 금호동4가 993,-,,,
버스,금옥초등학교.금호대우아파트,,1,127.0189291,37.54647457,N,Y,N,금호동4가,11200112,105000467.0,서울 성동구 금호동4가 800,서울특별시 성동구 독서당로 270 (금호동4가),,,
버스,금옥초등학교앞,,7,127.018237,37.546254,N,Y,N,금호동4가,11200112,103000059.0,서울 성동구 금호동4가 984-2,-,4158.0,11292.0,17270.0
버스,금옥초등학교입구,,1,127.0197191,37.54688985,N,Y,N,금호동4가,11200112,103900153.0,서울 성동구 금호동4가 1202-1,서울특별시 성동구 동호로2나길 19-23 (금호동4가),,,
버스,금호119안전센터,,1,127.024731,37.554187,N,Y,N,금호동1가,11200109,103900040.0,서울 성동구 금호동1가 1350-14,-,4546.0,207.0,2099.0
버스,금호119안전센터,,3,127.024578,37.554264,N,Y,N,금호동1가,11200109,103900125.0,서울 성동구 금호동1가 679-1,-,4596.0,2032.0,1342.0
버스,금호1가동주민센터,,2,127.0221955,37.55512902,N,Y,N,금호동1가,11200109,103900025.0,서울 성동구 금호동1가 1830,서울특별시 성동구 행당로 22 (금호동1가),4509.0,290.0,506.0
버스,금호1가동주민센터,,1,127.0208123,37.55472829,N,Y,N,금호동1가,11200109,103900185.0,서울 성동구 금호동1가 127-2,서울특별시 성동구 행당로 15 (금호동1가),4811.0,1758.0,6166.0
버스,금호4가동주민센터.대도빌딩,,1,127.0225635,37.54805265,N,Y,N,금호동4가,11200112,103900027.0,서울 성동구 금호동4가 548-1,서울특별시 성동구 독서당로 302 (금호동4가),4520.0,7250.0,3489.0
버스,금호고등학교,,2,127.021945,37.553475,N,Y,N,금호동1가,11200109,103000048.0,서울 성동구 금호동1가 558-1,-,4147.0,3604.0,5347.0
버스,금호고등학교,,2,127.023552,37.553096,N,Y,N,금호동1가,11200109,103900056.0,서울 성동구 금호동1가 1825,-,4651.0,831.0,941.0
버스,금호고등학교.금호자이1차아파트입구,,2,127.0229329,37.55310773,N,Y,N,금호동2가,11200110,103000049.0,서울 성동구 금호동2가 1214-1,-,4148.0,1384.0,2447.0
버스,금호고등학교앞,,1,127.0233929,37.55297995,N,Y,N,금호동2가,11200110,103900182.0,서울 성동구 금호동2가 1214-1,-,4814.0,517.0,242.0
버스,금호공원,,1,127.019575,37.54967696,N,Y,N,금호동3가,11200111,103900082.0,서울 성동구 금호동3가 1266,서울특별시 성동구 금호산9길 9 (금호동3가),4566.0,297.0,1876.0
버스,금호공원,,1,127.0197742,37.5496508,N,Y,N,금호동3가,11200111,103900094.0,서울 성동구 금호동3가 1265-51,서울특별시 성동구 금호산길 14 (금호동3가),4599.0,292.0,1916.0
버스,금호동벽산아파트,,3,127.0256791,37.5511644,N,Y,N,금호동1가,11200109,103000050.0,서울 성동구 금호동1가 1756-1,서울특별시 성동구 금호로 86 (금호동1가),4149.0,12555.0,9205.0
버스,금호베스트빌아파트노인정앞,,1,127.0250695,37.56187332,N,Y,N,하왕십리동,11200102,103900270.0,서울 성동구 하왕십리동 1052,"서울특별시 성동구 난계로 114-31 (하왕십리동, 금호 베스트빌)",4885.0,613.0,824.0
버스,금호사거리,,1,127.0241853,37.54797844,N,Y,N,금호동4가,11200112,105000465.0,서울 성동구 금호동4가 145,서울특별시 성동구 독서당로 316 (금호동4가),,,
버스,금호사거리,,1,127.0250025,37.54817651,N,Y,N,금호동3가,11200111,105000464.0,서울 성동구 금호동3가 218-1,-,,,
버스,금호사거리,,1,127.0250613,37.5481765,N,Y,N,성동구,11200111,103900010.0,서울 성동구 금호동3가 218-1,-,4750.0,2757.0,4123.0
버스,금호사거리,,3,127.0259773,37.54946397,N,Y,N,금호동2가,11200110,103000053.0,서울 성동구 금호동2가 1188-1,서울특별시 성동구 무수막길 14 (금호동2가),4152.0,3341.0,9726.0
버스,금호사거리,,1,127.025272,37.548008,N,Y,N,금호동4가,11200112,103900070.0,서울 성동구 금호동4가 116,서울특별시 성동구 독서당로 324-1 (금호동4가),4528.0,1607.0,3138.0
버스,금호사거리,,3,127.0260631,37.54887914,N,Y,N,금호동1가,11200109,103000052.0,서울 성동구 금호동1가 1801-3,서울특별시 성동구 금호로 62 (금호동1가),4151.0,16083.0,6196.0
버스,금호산입구,,1,127.019575,37.556722,N,Y,N,금호동2가,11200110,103900031.0,서울 성동구 금호동2가 1-4,-,4529.0,597.0,118.0
