정류장_이름,x_좌표,y_좌표
성동제일새마을금고,127.0473012813,37.560884127
청계9가.텐즈힐2단지 정문앞,127.025565,37.57075
뚝섬서울숲,127.037565,37.543457
서울숲1번출입구,127.042695,37.542222
서울숲1번출입구,127.042974358,37.5419781098
용답휴식공원,127.048053,37.569314
용답휴식공원,127.0479373245,37.5695541839
성수2가3동주민센터,127.0547820062,37.5502374154
극동그린아파트앞,127.011393,37.542003
마장역,127.043037,37.566346
행당신동아.행당푸르지오아파트,127.0340192689,37.5561408382
숭신초등학교,127.028196,37.56717
극동아파트,127.023935,37.558095
풍림아파트,127.023905,37.559145
벽산아파트,127.0256885739,37.555602288
대림아파트,127.0249260274,37.5565738309
행당역,127.0290982639,37.557000896
행당역,127.0287643907,37.557079373
무학여고,127.0330162995,37.5583911544
극동그린아파트,127.011904958,37.5420646255
성수동차고지,127.055682,37.535793
제민약국,127.058517,37.536593
왕십리자이.신당현대아파트,127.02363,37.560847
왕십리자이.신당현대아파트,127.024101,37.561152
제민약국,127.058488,37.536507
우리은행화양동지점,127.066129,37.548118
황학교.텐즈힐몰,127.0236037286,37.5700517505
마장동주민센터,127.04464,37.567063
왕십리광장.왕십리역7번출구,127.036895,37.561133
왕십리광장.왕십리역4번출구,127.037133352,37.561364441
한양대동문앞,127.0496759962,37.5556432919
왕십리도선동주민센터,127.024413,37.567817
한양여대앞,127.050625,37.559227
행당중학교,127.043024,37.553781
살곶이체육공원앞,127.0509355171,37.5563179062
송정동현대아이파크아파트,127.0686200823,37.5521871167
극동아파트5동,127.0110790155,37.5431595377
대우아파트관리실,127.019985,37.546215
신금호역,127.0204908209,37.5545931778
옥수역,127.016816639,37.5414827461
송정동자치회관,127.068764,37.550884
대우아파트후문,127.0216589278,37.5469390691
금호1가동주민센터,127.02219553,37.5551290207
왕십리민자역사,127.0378535089,37.5618426928
무쇠막,127.0246947943,37.545277754
송정어린이집,127.0677474298,37.5490025833
대경생활과학고등학교,127.017537043,37.5559714265
금북초등학교.e편한세상금호105동,127.0237361041,37.5555378179
무학여고,127.0339123541,37.5574916088
힐스테이트서울숲리버,127.0253856278,37.5467445912
성수SKV1센터1동,127.065585,37.545818
극동아파트상가,127.0121008716,37.5429197459
금호4가동주민센터.대도빌딩,127.0225635106,37.5480526537
화단삼거리,127.0198711709,37.5483198616
금호어린이집,127.01862,37.556734
논골.금호벽산아파트.성동공유센터,127.0253489995,37.5555491969
행당서울숲푸르지오상가앞,127.033891,37.555614
법학학술정보관,127.048574,37.55704
성수이비즈센터,127.063058,37.546576
한남하이츠아파트,127.0115923113,37.5400543105
금호사거리,127.025272,37.548008
금호산입구,127.019575,37.556722
