정류장_이름,x_좌표,y_좌표
중앙빌리지.동부센트레빌,126.960711,37.502722
롯데캐슬.샤인,126.971489,37.490918
남성초등학교.사당청소년문화의집,126.974840744,37.4860104896
신남성초교후문,126.9645998909,37.4890283675
현대아이파크,126.9416027519,37.5008885718
영은교회,126.9340950389,37.4943957803
이수시너스.이수역7번출구,126.981878,37.483918
갑을명가,126.966767,37.482572
성남중고,126.9253134035,37.5045784206
청운종합복지관,126.933440322,37.4955668475
은로초등학교,126.960921,37.503266
롯데캐슬.샤인,126.971203,37.491098
동작삼일수영장,126.9747984396,37.4873936762
삼거리우편물취급소,126.9770554226,37.4841645764
사당.인정아파트,126.9649635841,37.4899710309
선재유통,126.9328021506,37.4946581742
중앙대병원,126.9607327929,37.507689887
밤골터널.상도역롯데캐슬파크엘,126.946013,37.501866
동작고교,126.9664294375,37.4818218649
대림아파트후문.성남중.고교,126.9248146272,37.505674745
구동사무소,126.9324298965,37.4961096391
중대부속초등학교,126.9610502124,37.5053724551
국사봉중학교,126.9437280828,37.4931806671
국민은행4번출구,126.9377214725,37.5044810859
빙수골공영주차장,126.932158087,37.4952795673
상도역7호선,126.9472102115,37.5027474813
이수역,126.979985,37.484516
성원샹떼빌앞,126.9080420892,37.4877057013
대방동주민센터,126.926167,37.508177
빙수골마을공원,126.9321116975,37.4965518983
중앙대병원후문.흑석시장,126.961844,37.507138
방범초소,126.9437420438,37.4941682832
주택가,126.9368294391,37.5053600875
백경세탁소,126.930834755,37.4966448723
중앙대중문,126.95728804,37.5067385205
중대후문입구,126.9501363221,37.5043455055
신대방1동주민센터,126.9095785564,37.487040971
주공아파트.남도학숙,126.9289889124,37.5087023253
상도3동주민센터,126.9312735142,37.4991727218
삼성래미안.동작청소년문화의집,126.934549,37.505625
푸른초장교회,126.9300612128,37.4978176529
중앙대후문,126.953542,37.50505
이화약국,126.950537456,37.5049512146
숭의여중.고교,126.9299522538,37.5079144369
현대한의원,126.9325619694,37.5001592705
사당문화복지관,126.969576,37.485346
효사정앞,126.9608619342,37.5115070338
효사정앞,126.9613179097,37.5115368204
사회복지관앞,126.9330780951,37.506067189
7호선신대방삼거리역2번출구.국민은행,126.928419,37.498966
대림프라자.사당3동주민센터,126.974379,37.483807
상도은빛어르신복지관.터널경로당,126.9512512508,37.5065716922
동광교회,126.9344857415,37.5015543584
남성역.남성역골목시장,126.972224,37.484187
대방목욕탕,126.9323905778,37.5071048664
건영아파트,126.9515987872,37.5078829377
갯마을,126.982546,37.496232
현대아파트,126.9320467559,37.512052615
경문고등학교,126.982453,37.49018
삼거리우편물취급소,126.9772691231,37.4842177829
밤골.상도역롯데캐슬파크엘,126.9455943644,37.5021520208
남부교회,126.9322870912,37.5089709879
정금마을,126.982565,37.494339
동작고등학교,126.9664442487,37.4815722629
KT동작지사,126.9344730609,37.5121801399
7호선장승배기역2번출구,126.9389672411,37.5039320639
총신대역,126.982049,37.487354
남성초등학교.사당청소년문화의집,126.9749763981,37.4861375742
동원베네스트,126.9451749249,37.5034539195
신동아정문,126.9512523172,37.5101499659
사당솔밭도서관,126.9670879553,37.4834269187
해태타워앞,126.9246607439,37.4910939039
경성의원.새마을금고앞,126.935954556,37.5126188873
상도2동주민센터,126.9417827452,37.5050526535
상도은빛어르신복지관,126.9505398317,37.5063885967
삼일공원,126.9740160547,37.4869726909
부강탕,126.9459908973,37.5043671116
대방역1번출구,126.9274282269,37.5130699136
극동아파트앞,126.951363704,37.5110727392
이수역,126.982089,37.486574
삼거리,126.9684496405,37.4855349747
전문건설회관.보라매병원,126.9249580304,37.4923592428
대림아파트후문,126.9725906795,37.4884618946
상도브라운스톤,126.9438049608,37.505286117
흑석동,126.9654484836,37.5076760417
흑석역.명수현대아파트,126.965093411,37.5074560685
노들역5번출구,126.9521592788,37.5122904513
대림아파트,126.9466710231,37.5051800181
상도역.하나은행,126.9473327434,37.5038198475
봉천고개관악현대아파트,126.9566324017,37.4921183007
동작삼일수영장,126.9747872044,37.4871765076
동작고교.사당5동주민센터,126.9674875213,37.4850994802
건영아파트,126.948004,37.506971
우성201동.극동112동,126.9760206128,37.4881706827
삼호APT.오네뜨아파트,126.9656301015,37.4865452277
상도감리교회,126.9415426118,37.5054913714
남부교회,126.9320719695,37.5091952385
도시가스.두산아파트,126.9447020905,37.505053155
핸드픽트호텔,126.9334329321,37.501295738
핸드픽트호텔,126.93353,37.501611
7호선신대방삼거리역4번출구,126.9267443461,37.4998232995
우성아파트,126.9471191662,37.5083531944
숭실대입구역2번출구,126.953556,37.496203
시장입구,126.977157838,37.4894721027
신남성초교입구,126.9645031705,37.4879028591
새소망교회,126.9420033988,37.5063972057
대방목욕탕,126.932243,37.506937
본동초등학교,126.9535550176,37.5107266973
코오롱하늘채아파트,126.9240090902,37.4991700746
강남교회.오거리,126.9449289949,37.5102778468
봉천고개현대아파트,126.956251,37.491908
신동아아파트,126.9765786726,37.4900072452
LG아파트상가,126.963560848,37.4886009282
신동아아파트701동앞,126.9432253093,37.5074809233
사회복지관앞,126.9330952089,37.505902297
동작우체국,126.9238815363,37.4978102285
테니스장.우성아파트304동,126.9759361455,37.4906189658
자이아파트정문앞,126.9628435447,37.4893053683
신동아관리사무소,126.9440017764,37.5083076038
삼성래미안.동작청소년문화의집,126.9348170675,37.5055356102
대방역2번출구앞,126.9275880089,37.5127789562
경성의원.새마을금고앞,126.9359804244,37.5127937149
노량진역,126.941453612,37.5137237868
신동아상가,126.9463253599,37.5079978025
주택가,126.9364798085,37.5055040763
예스플러스,126.9224942472,37.5039638554
KT동작전화국,126.9345611292,37.5123694199
9호선노량진역.동작구청,126.940088794,37.5130148375
숭실대후문,126.9611601225,37.4950484626
건영아파트,126.947662,37.507372
국민은행,126.9375688275,37.5044197304
테니스장앞,126.9593670537,37.4981116101
동작대교(가상),126.9796763448,37.5045197145
숭의여중고교.공군항공안전단,126.9296959851,37.5073826349
7호선장승배기역5번출구,126.938975342,37.5050962917
명창빌딩,126.936506677,37.504496659
화성목욕탕,126.9406660106,37.4997752435
본동시장,126.9519737943,37.5122399144
성원아파트,126.925418897,37.508821774
충남정육점,126.9399946942,37.4991450337
극동아파트,126.9512098387,37.511110522
대방동주민센터,126.926169,37.508388
쌍용아파트,126.93298603,37.5015039566
삼성래미안아파트,126.9510847768,37.5103454356
대림아파트후문.성남중.고교,126.9249920186,37.5058658913
성대시장,126.932299,37.500081
노량진역,126.9432478962,37.5135038929
강현중학교.동작청소년문화의집,126.9345122587,37.5030004211
한신아파트,126.95125889,37.5087397453
대방교회,126.9230394173,37.5039714206
계령약국,126.933383,37.498978
건영아파트후문,126.9515026905,37.5078063047
홍원사,126.9241422416,37.5039451009
강남교회.오거리,126.9447876219,37.5102462423
상도은빛어르신복지관.터널경로당,126.950953788,37.5065409316
영동슈퍼,126.9241105295,37.5028691648
사거리,126.9367943174,37.496036362
우성아파트,126.9469766782,37.5083026689
범한택시,126.9240183662,37.500061271
제일성민교회,126.9373309289,37.495391458
신동아리버파크,126.9477107912,37.5066765081
안일약국,126.934555783,37.4977616565
상도역7호선,126.9470766344,37.5029069167
달마사,126.960694,37.499535
동작하이슈퍼,126.93663917,37.4949423396
대림아파트,126.9466416761,37.5053838502
밤골.상도역롯데캐슬파크엘,126.945916,37.50196
한강대교(가상),126.9567810087,37.5137368213
상도역,126.9489458159,37.5035799614
약수맨션.약수당약국,126.943517,37.498251
현진빌라.고마트,126.9430023671,37.4972109542
중앙대후문,126.9539815854,37.5050129803
건영아파트,126.9476344677,37.5074478171
중앙대중문,126.9573559193,37.5064893501
신동아상가,126.9460741526,37.50813015
중앙대정문,126.958223341,37.5067437707
신동아관리사무소,126.9445445828,37.5084979923
중앙대병원,126.9613764833,37.5075405164
신동아아파트701동앞,126.9429719204,37.5075024276
보라매어린이집.문창중학교,126.923186,37.497719
중앙대병원후문.흑석시장,126.9612695829,37.5064627639
여의교(가상),126.927668312,37.5148027152
새소망교회,126.9415658051,37.5062095609
동작우체국,126.9245070504,37.4977295307
중앙대부속초등학교.롯데캐슬에듀포레,126.960786,37.504918
신대방삼거리역.성대시장,126.9279311823,37.4982254734
은로초등학교,126.9607814881,37.5032573835
신대방1동경남아파트,126.9075610052,37.489931954
중앙빌리지.동부센트레빌,126.96033,37.502218
부강탕,126.9459783256,37.5045473263
유앤미아파트,126.960133,37.500922
동원베네스트,126.9447645304,37.5032059252
전문건설회관.보라매병원,126.924779,37.492411
동양아파트,126.959859,37.499561
밤골.상도역롯데캐슬파크엘,126.9455074093,37.5019654526
아카데미타워,126.9244163541,37.4912126935
신대방역,126.913014,37.487502
빌라삼거리.영도교회.약수터,126.9436054409,37.4953540701
신대방1동주민센터,126.9097457115,37.4872123087
방범초소,126.9436276916,37.4943394383
신대방현대아파트,126.9115433628,37.4952280357
국사봉중학교,126.9435729947,37.4933842425
신대방우성아파트앞,126.9103818246,37.4933430025
교수아파트,126.913422836,37.496296383
보라매공원입구,126.917914,37.495679
보라매공원,126.918239,37.494769
삼일초등학교앞,126.9756632895,37.4881057301
동작경희병원,126.9360217143,37.5028527874
신동아상가,126.9514070573,37.5087596306
현대아파트,126.931932,37.512343
서달산약수터,126.9620217296,37.4998489184
장성교회,126.939904,37.507439
숭의여중고교.공군항공안전단,126.9301467298,37.5079992556
대방동주공아파트,126.9288799898,37.5090527881
노량진신한은행,126.9441708438,37.5121553851
노량진한국법학교육원,126.9443313266,37.512353703
7호선신대방삼거리역2번출구.국민은행,126.928523,37.498836
푸른초장교회,126.9300251189,37.4977131036
백경세탁소,126.9307149228,37.4965907359
빙수골공영주차장,126.9320110465,37.4952993071
선재유통,126.9327547444,37.4945545203
영은교회,126.9339921386,37.494379503
갑을명가아파트,126.9344802493,37.4936012213
당곡중.고등학교,126.9354998113,37.4928980204
사자암,126.936404974,37.4937167132
동작하이슈퍼,126.9367296655,37.4949180583
제일성민교회,126.9374010926,37.495337429
보문사,126.938645622,37.4961202394
동아아파트,126.9401507385,37.4963534961
행복유치원,126.9412493715,37.4957521106
동아아파트,126.9401307074,37.4966058593
보문사,126.9385856267,37.4961868899
사당1동주민센터입구,126.9787425623,37.484087397
노들역5번출구앞,126.952533,37.512541
한강대교남단(가상),126.9554510582,37.5142155883
한강대교남단(가상),126.9555809119,37.5146166269
동작대교남단(가상),126.973585394,37.505723652
동작대교남단(가상),126.9739596436,37.5061409451
청호아파트,126.963789,37.500751
푸르지오후문,126.964318,37.501598
푸르지오상가,126.965036,37.503417
흑석한강푸르지오,126.965352,37.504296
흑석동주민센터,126.9664605238,37.5058669213
대방중학교,126.914493,37.495492
상도감리교회.보건소,126.9413118652,37.5054948614
수도여고,126.9152513015,37.4935547507
동작구민체육센터.기상청,126.9172420906,37.4942400994
동작구민체육센터.기상청,126.9171796976,37.4944139686
수도여고,126.91488,37.493877
대방중학교,126.9145761544,37.495531285
정금마을,126.9812176487,37.4938386664
경동아파트,126.9537175431,37.5094841427
동양중학교,126.9548036777,37.5091142107
극락정사,126.9518056786,37.5080479239
흑석역,126.962302,37.509202
중앙대병원,126.9603641787,37.5074356533
상도역1번출구,126.9478369293,37.5025855614
동작대교(가상),126.9797337356,37.5051188428
상도3동주민센터,126.9298933823,37.4995035166
양녕공영주차장,126.9361449852,37.4967192504
두산위브아파트,126.9708754546,37.484877791
보라매역.동작세무서,126.920229403,37.4979925451
한강대교(가상),126.9571940689,37.5141197789
신남성초교입구,126.9645405795,37.4877091329
삼호.오네뜨아파트,126.9653451099,37.4866037163
사당5동주민센터,126.967507,37.485085
재넘이고개,126.935368,37.492825
정금마을,126.9827479847,37.4932972024
동작대교전망카페,126.9802792405,37.5057628053
