GID,gid위도,gid경도,생활인구수,동 이름,gid 버스정류장명,gid버스정류장위도,gid버스정류장경도,NODE_ID
다사579514,37.56144736,127.0238788,0,하왕십리동,왕십리자이.신당현대아파트,37.561152,127.024101,103000187
다사601514,37.56154519,127.0487881,465,사근동,사근동하이츠아파트앞,37.561201,127.048603,103000125
다사601514,37.56154519,127.0487881,465,사근동,사근동하이츠아파트앞,37.56130618,127.0486882,103000126
다사568491,37.54066598,127.0115595,221,옥수동,옥정중학교입구,37.54090407,127.0113027,103000070
다사590512,37.55969428,127.0363446,39,행당동,왕십리역,37.55994731,127.036192,103000034
다사584517,37.56417404,127.029523,177,하왕십리동,상왕십리역,37.564338,127.029075,103000004
다사588508,37.55608005,127.0341027,107,행당동,행당신동아.행당푸르지오아파트,37.55614084,127.0340193,103000170
다사588508,37.55608005,127.0341027,107,행당동,행당푸르지오아파트,37.55623906,127.0340035,103900162
다사611487,37.53725194,127.0602536,33,성수동2가,성수119안전센터,37.53734169,127.0601321,103000092
다사611487,37.53725194,127.0602536,33,성수동2가,성수119안전센터,37.537532,127.059997,103000093
다사575498,37.54700779,127.0194425,144,금호동4가,금옥초등학교입구,37.54688985,127.0197191,103900153
다사610494,37.54355706,127.0590845,0,성수동2가,경수중학교입구,37.543514,127.059621,
다사572502,37.55059922,127.0160231,571,금호동3가,두산아파트113동,37.55078794,127.0162396,103900001
다사572502,37.55059922,127.0160231,571,금호동3가,두산아파트113동,37.5505885,127.0160758,103900007
다사585501,37.5497573,127.0307458,86,응봉동,응봉동현대아파트,37.549732,127.030578,103000042
다사585501,37.5497573,127.0307458,86,응봉동,응봉동현대아파트,37.54980253,127.0307682,103900126
다사585501,37.5497573,127.0307458,86,응봉동,응봉동현대아파트,37.54986196,127.030938,103900212
다사585501,37.5497573,127.0307458,86,응봉동,응봉현대아파트,37.5497629,127.0307014,105000461
다사585501,37.5497573,127.0307458,86,응봉동,응봉현대아파트,37.55013049,127.0309019,105000460
다사595515,37.56242036,127.0419892,288,마장동,마장동금호아파트,37.56215772,127.0415812,103000025
다사602490,37.53991756,127.0500504,21,성수동2가,성수공고앞,37.539973,127.050314,103000082
다사583520,37.5668735,127.0283737,175,송정동,숭신초등학교,37.56717,127.028196,103000171
다사598499,37.54801221,127.0454735,31,성수동1가,뚝섬역8번출구,37.547696,127.045506,103000134
다사585520,37.56688252,127.0306383,86,홍익동,선영약국,37.566775,127.030619,103900198
다사575502,37.5506131,127.0194194,135,금호동3가,한신아파트,37.55075381,127.0192957,103900043
다사575502,37.5506131,127.0194194,135,금호동3가,한신아파트,37.5507583,127.0194078,103900054
다사574497,37.54610185,127.0183163,330,금호동4가,금옥초등학교앞,37.546254,127.018237,103000059
다사585518,37.56507987,127.0306497,163,도선동,상왕십리역,37.56487166,127.0302446,103000015
다사590517,37.56420091,127.0363167,187,도선동,성동구청,37.564136,127.036403,103900085
다사572503,37.55150055,127.0160173,490,금호동3가,두산아파트115동,37.55105588,127.0159607,103900138
다사606490,37.53993473,127.0545781,95,성수동2가,서울경찰청제6기동단,37.540228,127.054772,103900236
다사606490,37.53993473,127.0545781,95,성수동2가,서울경찰청제6기동단,37.540076,127.054739,103900255
다사572496,37.54519126,127.0160581,66,옥수동,옥수교회,37.54524,127.016005,103900209
다사580504,37.55243865,127.0250683,130,금호동1가,e편한세상금호117동,37.552657,127.024679,103900131
다사580504,37.55243865,127.0250683,130,금호동1가,벽산아파트정문,37.552658,127.02528,103900035
다사622509,37.557127,127.072591,8,송정동,군자교남단,37.557542,127.072438,103000117
다사595516,37.56332169,127.0419836,189,마장동,마장동금호아파트,37.56307133,127.041859,103000024
다사600513,37.56063953,127.0476613,340,사근동,성동제일새마을금고,37.56088413,127.0473013,103000157
다사607487,37.53723499,127.0557261,96,성수동2가,뚝도시장구길,37.537192,127.05527,103000102
다사596508,37.55611544,127.0431599,51,행당동,한양대정문,37.55638837,127.0431286,103000030
다사568490,37.53976465,127.0115654,64,옥수동,한남하이츠아파트,37.54005431,127.0115923,103900069
다사592518,37.56511111,127.0385757,399,마장동,중앙하이츠아파트,37.565054,127.03845,103900171
다사592518,37.56511111,127.0385757,399,마장동,중앙하이츠아파트,37.56525269,127.0389001,103900188
다사584509,37.55696342,127.0295684,405,행당동,행당역,37.5570009,127.0290983,103000176
다사575500,37.54881044,127.0194309,108,성수동2가,원형화단,37.54859296,127.0194898,103900020
다사575500,37.54881044,127.0194309,108,금호동3가,화단앞,37.54862447,127.019654,103900091
다사577505,37.55332627,127.0216662,436,금호동1가,e편한세상금호109동,37.553483,127.021876,103900267
다사577505,37.55332627,127.0216662,436,금호동1가,금호고등학교,37.553475,127.021945,103000048
다사581506,37.55424586,127.026189,440,금호동1가,벽산아파트505동,37.55432168,127.0263706,103900177
다사581506,37.55424586,127.026189,440,금호동1가,벽산아파트505동앞,37.55440101,127.0262518,103900156
다사571491,37.54067998,127.0149553,154,옥수동,옥정초등학교,37.54088924,127.0154196,103900266
다사608488,37.53814058,127.0568526,159,성수동2가,경수중학교,37.53828654,127.0570118,
다사586506,37.55426844,127.0318496,409,행당동,행당서울숲푸르지오109동앞,37.55438612,127.0318012,103900014
다사586506,37.55426844,127.0318496,409,행당동,행당서울숲푸르지오109동앞,37.554456,127.031711,103900034
다사596509,37.55701677,127.0431544,65,행당동,한양대정문앞,37.556996,127.043138,103000031
다사595513,37.5606177,127.0420002,68,행당동,한양지구대,37.560218,127.042025,103000131
다사595513,37.5606177,127.0420002,68,행당동,한양지구대,37.56024458,127.0419242,103000132
다사576506,37.55422301,127.0205283,98,금호동2가,금호정형외과,37.55408677,127.0204579,103900184
다사576506,37.55422301,127.0205283,98,금호동2가,신금호역,37.55459318,127.0204908,103900022
다사576506,37.55422301,127.0205283,98,금호동2가,신금호역4번출구,37.554143,127.02053,103000515
다사596519,37.56603006,127.0430994,30,마장동,마장역,37.566346,127.043037,103000169
다사596519,37.56603006,127.0430994,30,마장동,마장역,37.56611408,127.0426522,103900246
다사577498,37.54701698,127.0217065,584,금호동4가,대우아파트후문,37.54693907,127.0216589,103900143
다사585504,37.55246129,127.0307288,421,응봉동,충북상회,37.5527923,127.0310094,103900061
다사591505,37.55338942,127.0375159,381,응봉동,리버그린동아아파트정문,37.55349324,127.0375237,103900274
다사570491,37.54067532,127.0138234,431,옥수동,옥수삼성아파트,37.54063526,127.0139485,103900041
다사570491,37.54067532,127.0138234,431,옥수동,옥수삼성아파트,37.54075326,127.0143208,103900079
다사611486,37.53635061,127.0602589,57,성수동2가,영동대교,37.536356,127.059982,103000106
다사611486,37.53635061,127.0602589,57,성수동2가,영동대교,37.536435,127.060066,103000107
다사577507,37.55512892,127.0216547,92,금호동1가,금호1가동주민센터,37.55512902,127.0221955,103900025
다사577507,37.55512892,127.0216547,92,금호동1가,대현산배수지공원앞,37.55517771,127.0220575,103900195
다사575509,37.55692238,127.0193788,50,금호동2가,금호산입구,37.556722,127.019575,103900031
다사597501,37.54981051,127.0443305,19,성수동1가,성동교남단,37.549515,127.044457,103000086
다사580506,37.55424131,127.0250568,236,금호동1가,금호119안전센터,37.554187,127.024731,103900040
다사580506,37.55424131,127.0250568,236,금호동1가,금호119안전센터,37.554264,127.024578,103900125
다사580499,37.54793201,127.0250969,129,금호동3가,금호사거리,37.54817651,127.0250025,105000464
다사580499,37.54793201,127.0250969,129,성동구,금호사거리,37.5481765,127.0250613,103900010
다사580499,37.54793201,127.0250969,129,금호동4가,금호사거리,37.548008,127.025272,103900070
다사618502,37.55080119,127.0680987,183,송정동,송정동자치회관입구,37.5511351,127.0678257,103900099
다사597491,37.5407972,127.0443854,343,성수동1가,뚝도아리수정수센터수도박물관,37.540977,127.0442,103000076
다사605496,37.54533845,127.0534139,29,성수동2가,성수역1번출구,37.54542,127.05383,103000138
다사570494,37.54337931,127.0138058,158,옥수동,옥수동주민센터.옥수동성당,37.54360617,127.0140192,103900169
다사570494,37.54337931,127.0138058,158,옥수동,옥수동주민센터.옥수동성당,37.54323766,127.0136717,103900192
다사591513,37.56060005,127.0374713,267,행당동,왕십리역6-1번출구,37.560793,127.037912,103900281
다사613499,37.54807635,127.0624541,77,성수동2가,성동세무서앞,37.547995,127.062185,103000113
다사587516,37.5632862,127.0329255,582,하왕십리동,코스모타워.서울신용보증재단성동지점,37.56298226,127.0329029,103000012
다사587507,37.55517425,127.0329761,434,행당동,신동아아파트후문,37.55489468,127.0326937,103900071
다사606487,37.53723073,127.0545942,147,성수동2가,뚝도시장구길,37.53755207,127.0549268,103000103
다사575501,37.54971177,127.0194251,68,금호동3가,금호공원,37.54967696,127.019575,103900082
다사575501,37.54971177,127.0194251,68,금호동3가,금호공원,37.5496508,127.0197742,103900094
다사576508,37.55602566,127.0205168,27,금호동1가,대현산배수지공원입구,37.55627838,127.0200974,103000044
다사581501,37.54973922,127.0262175,54,금호동2가,금호사거리,37.54946397,127.0259773,103000053
다사619503,37.55170666,127.0692256,118,송정동,송정동서울숲아이파크,37.55182,127.069252,103000115
다사586504,37.55246578,127.0318609,416,응봉동,응봉경로당앞,37.55238843,127.031694,103900015
다사586504,37.55246578,127.0318609,416,응봉동,응봉경로당앞,37.55262793,127.0316422,103900072
다사585510,37.55786925,127.0306949,96,행당동,행당2동주민센터,37.5577376,127.0306538,103900038
다사585510,37.55786925,127.0306949,96,행당동,행당2동주민센터,37.55782957,127.0304206,103900105
다사584519,37.56597669,127.0295117,417,홍익동,상왕십리역.센트라스아파트,37.565859,127.029978,103000016
다사580521,37.5677612,127.024971,260,상왕십리동,왕십리도선동주민센터,37.567617,127.024642,103000010
다사580521,37.5677612,127.024971,260,상왕십리동,왕십리도선동주민센터,37.567817,127.024413,103000295
다사596512,37.55972076,127.0431379,39,사근동,한양대학교병원본관1층,37.55945161,127.0435712,103900291
다사582521,37.56777029,127.0272357,170,하왕십리동,숭신초등학교.도선고등학교앞,37.56732969,127.0271676,103900202
다사605492,37.54173312,127.0534354,8,성수동2가,서울숲코오롱디지털타워2차,37.541461,127.053848,103900258
다사580518,37.56505723,127.0249882,269,상왕십리동,왕십리센트라스아파트,37.565213,127.0248052,103000006
다사580505,37.55333998,127.0250626,229,금호동1가,성동중앙교회.벽산아파트정문,37.553011,127.024877,103900017
다사597497,37.54620518,127.0443525,100,성수동1가,성동구민종합체육센터,37.546493,127.044533,103000081
다사606501,37.54984939,127.0545191,92,송정동,성수2가3동주민센터,37.55023742,127.054782,103000167
다사575497,37.54610646,127.0194483,491,금호동4가,대우아파트관리실,37.546215,127.019985,103900142
다사575497,37.54610646,127.0194483,491,금호동4가,대우아파트입구,37.54598344,127.0191632,103900144
다사593508,37.55610225,127.0397635,333,행당동,서울숲리버뷰자이아파트제2주차장,37.556168,127.039405,103900275
다사589519,37.56599912,127.0351732,71,마장동,한전입구,37.5662652,127.0351185,103900089
다사580509,37.55694529,127.0250397,289,행당동,대림아파트,37.55657383,127.024926,103000175
다사582504,37.55244774,127.0273325,405,금호동1가,벽산아파트109동,37.55261388,127.0273705,103900178
다사582504,37.55244774,127.0273325,405,금호동1가,벽산아파트206동앞,37.55215254,127.0272674,103900158
다사572495,37.54428993,127.0160639,72,옥수동,래미안옥수리버젠아파트상가,37.54437279,127.015727,103900167
다사597514,37.56152779,127.0442592,19,사근동,사근고개,37.56125556,127.0445102,103000130
다사575506,37.5542184,127.0193962,123,금호동2가,신금호역,37.55433559,127.0197856,103900101
다사575506,37.5542184,127.0193962,123,금호동1가,신금호역,37.554381,127.019638,103900133
다사583518,37.56507085,127.0283851,406,하왕십리동,상왕십리역,37.56469363,127.0286813,103000005
다사568494,37.54336996,127.0115419,505,옥수동,극동아파트4동,37.5435055,127.0116845,103900004
다사568494,37.54336996,127.0115419,505,옥수동,극동아파트4동,37.54353164,127.0115883,103900005
다사568494,37.54336996,127.0115419,505,옥수동,극동아파트5동,37.54315954,127.011079,103900149
다사600491,37.54081025,127.0477812,0,성수동1가,경일초등학교앞,37.540772,127.048207,103000143
다사600491,37.54081025,127.0477812,0,성수동1가,경일초등학교앞,37.540917,127.048175,103000144
다사579513,37.56054604,127.0238846,182,행당동,왕십리자이.신당현대아파트,37.560847,127.02363,103000186
다사579513,37.56054604,127.0238846,182,하왕십리동,왕십리자이.신당현대아파트,37.56084707,127.0236902,103900053
다사595512,37.55971637,127.0420057,61,행당동,한양대병원후문,37.560011,127.041957,103900305
다사595512,37.55971637,127.0420057,61,행당동,한양대학교제2의학관,37.559328,127.042132,103900284
다사581521,37.56776575,127.0261033,74,하왕십리동,왕십리도선동주민센터,37.56770843,127.0259157,103900201
다사608500,37.54895658,127.0567886,169,송정동,제인병원,37.549348,127.056837,103000112
다사604488,37.5381235,127.0523251,93,성수동2가,서울숲지구대앞,37.537868,127.052342,103000100
다사604488,37.5381235,127.0523251,93,성수동2가,서울숲지구대앞,37.53805092,127.0522589,103000101
다사573501,37.54970253,127.017161,244,금호동3가,두산아파트109동,37.54991499,127.016797,103900137
다사582508,37.55605305,127.0273097,628,행당동,대림아파트후문,37.5561715,127.0269327,103900108
다사582508,37.55605305,127.0273097,628,행당동,한진아파트후문,37.5560183,127.0269971,103900032
다사587506,37.55427292,127.0329818,301,행당동,신동아아파트후문,37.55468771,127.0328358,103900012
다사582499,37.5479411,127.0273609,83,금호동4가,금호삼성래미안,37.54787691,127.0269818,105000463
다사582499,37.5479411,127.0273609,83,금호동4가,금호삼성래미안,37.54836158,127.0275354,105000462
다사582499,37.5479411,127.0273609,83,금호동4가,삼성래미안아파트앞,37.54834987,127.0275127,103000061
다사582499,37.5479411,127.0273609,83,금호동4가,제일감리교회,37.54786612,127.0269037,103900146
다사582499,37.5479411,127.0273609,83,금호동4가,힐스테이트서울숲리버아파트,37.54788771,127.0270576,103000060
다사589513,37.56059115,127.0352068,0,행당동,왕십리역,37.560723,127.034688,103000036
다사587515,37.56238487,127.0329311,245,하왕십리동,왕십리2동주민센터,37.56244961,127.0332626,103000011
다사607489,37.53903766,127.0557154,0,성수동2가,뚝도시장,37.53885,127.05526,103000097
다사579520,37.56685532,127.0238444,925,상왕십리동,왕십리교회,37.56663,127.023678,103000007
다사569498,37.54697995,127.0126504,612,옥수동,옥수파크힐스아파트앞,37.547113,127.013038,103000506
다사569498,37.54697995,127.0126504,612,옥수동,옥수파크힐스아파트앞,37.547018,127.013019,103000507
다사599491,37.54080591,127.0466492,156,성수동1가,경일초등학교입구,37.541079,127.046372,103000084
다사579507,37.55513808,127.023919,369,금호동1가,금북초등학교.e편한세상금호105동,37.55553782,127.0237361,103900120
다사604491,37.5408275,127.0523089,288,성수동2가,이마트.서울숲힐스테이트아파트,37.540528,127.05257,103900259
다사581500,37.54883789,127.0262232,88,금호동1가,금호사거리,37.54887914,127.0260631,103000052
다사605489,37.53902912,127.0534516,216,성수동2가,성원중성수동이마트앞,37.53909394,127.0534265,103000098
다사606518,37.56517201,127.0544279,43,용답동,답십리역사거리,37.56544961,127.0543962,103000001
다사578499,37.54792289,127.0228328,78,금호동4가,금호4가동주민센터.대도빌딩,37.54805265,127.0225635,103900027
다사584501,37.5497528,127.0296137,185,응봉동,신동아아파트,37.54976756,127.0300982,103900011
다사602497,37.54622689,127.0500125,58,성수동1가,SK테크노빌딩앞,37.545888,127.050228,103000139
다사616499,37.54808889,127.0658503,7,하왕십리동,왕약국,37.54834119,127.0655473,103900093
다사616499,37.54808889,127.0658503,7,금호동4가,우리은행화양동지점,37.548118,127.066129,103000189
다사573500,37.5488012,127.0171668,243,금호동4가,금호역,37.54854922,127.0169909,103900139
다사573508,37.55601182,127.0171203,,금호동2가,대경생활과학고등학교,37.55597143,127.017537,103900026
다사573508,37.55601182,127.0171203,,금호동2가,대경생활과학고등학교,37.55606875,127.0175178,103900106
다사595494,37.54349243,127.042105,,성수동1가,서울숲2번출입구,37.543527,127.04255,103900265
