GID,위도,경도,생활인구수
다사514455,37.50794976,126.9506741,366
다사519438,37.4926534,126.9564423,168
다사539433,37.48824867,126.9790974,145
다사497447,37.50064818,126.9314948,106
다사494459,37.51144764,126.9280184,103
다사524449,37.50259388,126.9620271,486
다사524435,37.4899753,126.9621176,178
다사539441,37.49545931,126.9790473,195
다사528428,37.48368651,126.9666871,0
다사518444,37.49805614,126.9552718,234
다사531432,37.48730709,126.9700548,318
다사475435,37.48970995,126.9066918,16
다사523458,37.51070066,126.9608374,417
다사537433,37.48823867,126.9768352,260
다사477437,37.49152393,126.9089398,0
다사531430,37.48550443,126.9700675,203
다사542439,37.49367157,126.9824535,133
다사494448,37.50153312,126.928094,397
다사521451,37.50438103,126.9586201,458
다사532433,37.48821349,126.9711795,135
다사515460,37.51246164,126.9517726,45
다사482440,37.49425605,126.9145745,544
다사497446,37.49974685,126.9315016,40
다사499441,37.49525111,126.9337982,354
다사525454,37.50710566,126.9631262,121
다사500461,37.51328296,126.9347936,226
다사508453,37.50611535,126.943899,455
다사475434,37.48880863,126.9066989,81
다사534437,37.49182892,126.9734165,510
다사503459,37.51149652,126.9382016,284
다사516460,37.51246688,126.9529041,281
다사533436,37.49092254,126.9722916,443
다사504450,37.50338999,126.9393937,66
다사514448,37.50164049,126.9507204,416
다사495444,37.4979333,126.9292528,315
다사517444,37.49805092,126.9541406,510
다사511447,37.50072334,126.947333,467
다사478432,37.48702298,126.9101064,107
다사525445,37.49899372,126.9631843,9
다사492450,37.50332478,126.9258176,119
다사492442,37.49611421,126.9258728,344
다사510441,37.49531009,126.9462417,242
다사503461,37.51329916,126.938188,61
다사513442,37.49622728,126.9496287,387
다사512442,37.496222,126.9484975,338
다사481438,37.4924478,126.9134574,299
다사496462,37.51416254,126.9302607,178
다사516450,37.50345364,126.9529699,431
다사541427,37.48285063,126.981397,67
다사537431,37.48643601,126.9768477,309
다사520441,37.49536258,126.9575539,60
다사517439,37.49354429,126.9541734,393
다사482435,37.48974945,126.9146097,50
다사506445,37.49889409,126.9416899,339
다사535437,37.49183395,126.9745476,381
다사505447,37.50069139,126.9405452,394
다사490444,37.49790584,126.9235965,113
다사528427,37.48278518,126.9666935,244
다사498452,37.50516022,126.932592,152
다사510460,37.51243524,126.9461152,203
다사482441,37.49515737,126.9145675,176
다사498457,37.50966683,126.9325579,27
다사539421,37.47743269,126.9791725,328
다사494445,37.49882915,126.9281146,13
다사491451,37.5042206,126.9246793,310
다사533453,37.50624513,126.9721838,318
다사536421,37.47741768,126.9757796,443
다사489451,37.50420956,126.9224166,207
다사512447,37.50072863,126.9484644,292
다사506458,37.51061129,126.9416027,183
다사513448,37.50163523,126.949589,230
다사533434,37.48911988,126.9723043,222
다사503442,37.49617403,126.9383164,379
다사490447,37.5006098,126.9235757,34
다사512445,37.49892598,126.9484776,97
다사495445,37.49883462,126.9292459,165
다사521440,37.49446644,126.9586917,361
다사514456,37.50885109,126.9506675,437
다사493458,37.51054084,126.9268938,42
다사521450,37.5034797,126.9586266,405
다사507452,37.5052087,126.9427743,226
다사538436,37.49094767,126.9779475,202
다사533430,37.48551456,126.9723297,193
다사499445,37.4988564,126.933771,221
다사521456,37.50888766,126.9585875,234
다사532420,37.47649619,126.9712621,332
다사499448,37.50156037,126.9337506,128
다사502442,37.49616865,126.9371851,420
다사484442,37.49606988,126.9168229,87
다사508461,37.51332593,126.9438455,14
다사536427,37.48282567,126.9757418,167
다사487443,37.49698791,126.9202096,152
다사504453,37.50609396,126.9393735,129
다사525437,37.4917831,126.9632359,376
다사494461,37.51325028,126.9280046,59
다사504459,37.51150189,126.939333,229
다사493442,37.4961197,126.927004,224
다사535425,37.48101799,126.9746234,472
다사510461,37.51333657,126.9461085,152
다사503457,37.50969387,126.9382151,279
다사535429,37.48462331,126.9745982,263
다사490437,37.49159658,126.9236449,819
다사491458,37.51052984,126.9246309,311
다사494447,37.50063179,126.9281009,405
다사506453,37.50610468,126.9416362,525
다사483441,37.49516297,126.9156987,366
다사506456,37.50880865,126.9416161,137
다사502460,37.51239245,126.9370633,213
다사512458,37.51064319,126.9483914,314
다사505461,37.5133099,126.940451,394
다사514460,37.51245638,126.9506411,0
다사491457,37.50962852,126.9246378,304
다사522455,37.50799151,126.9597255,251
다사510453,37.50612598,126.9461618,340
다사505458,37.51060594,126.9404712,116
다사499449,37.50246169,126.9337438,303
다사524431,37.48636998,126.9621435,86
다사528450,37.50351573,126.9665461,110
다사510443,37.49711274,126.9462284,340
다사528431,37.4863905,126.9666679,286
다사540428,37.48374699,126.9802597,346
다사538422,37.47832903,126.9780353,289
다사541440,37.49456794,126.981316,275
다사496448,37.50154405,126.9303566,295
다사537421,37.47742269,126.9769106,346
다사492457,37.50963402,126.9257692,507
다사528432,37.48729182,126.9666615,299
다사514452,37.50524579,126.9506939,99
다사513455,37.5079445,126.9495427,751
다사539424,37.48013668,126.9791537,442
다사499440,37.49434978,126.933805,281
다사540443,37.49726696,126.9801661,189
다사479439,37.49333786,126.911188,138
다사522456,37.50889284,126.959719,70
다사476432,37.48701166,126.9078442,162
다사506455,37.50790732,126.9416228,44
다사510459,37.51153392,126.9461218,343
다사535439,37.49363661,126.974535,119
다사505453,37.50609932,126.9405049,51
다사527431,37.48638538,126.9655368,490
다사511450,37.50342731,126.9473131,73
다사512451,37.50433392,126.9484378,415
다사509445,37.49891008,126.9450838,275
다사505460,37.51240858,126.9404578,148
다사506454,37.507006,126.9416295,0
다사481442,37.49605308,126.9134292,474
다사497442,37.49614156,126.9315289,368
다사482439,37.49335473,126.9145816,507
다사492441,37.49521289,126.9258797,433
다사517441,37.49534694,126.9541603,56
다사541439,37.49366661,126.9813223,17
다사514441,37.49533122,126.9507666,454
다사534421,37.47740762,126.9735177,476
다사481436,37.49064516,126.9134715,0
다사496440,37.49433347,126.9304114,405
다사539434,37.48915,126.9790911,700
다사489444,37.49790031,126.9224652,67
다사504457,37.50969925,126.9393465,208
다사518445,37.49895747,126.9552653,454
다사492455,37.50783138,126.925783,474
다사508457,37.50972064,126.9438723,275
다사501444,37.4979659,126.9360403,384
다사529432,37.48729693,126.9677926,242
다사495462,37.51415708,126.9291292,458
다사523446,37.49988475,126.9609152,296
다사509449,37.50251538,126.9450571,254
다사512455,37.50793922,126.9484113,185
다사542443,37.49727689,126.9824286,315
다사505454,37.50700065,126.9404981,249
다사480437,37.49154086,126.9123333,522
다사531452,37.50533367,126.9699274,9
다사516454,37.50705894,126.9529435,353
다사474432,37.4870003,126.9055821,110
다사520456,37.50888246,126.9574561,206
다사524438,37.49267928,126.9620982,539
다사508449,37.50251006,126.9439258,313
다사515455,37.50795502,126.9518056,180
다사524455,37.50800184,126.9619883,142
다사501457,37.50968309,126.9359522,104
다사527432,37.48728671,126.9655303,436
다사515443,37.49713912,126.9518846,269
다사498453,37.50606155,126.9325852,146
다사503462,37.51420048,126.9381813,452
다사483442,37.49606429,126.9156917,284
다사523452,37.5052927,126.9608763,0
다사498447,37.50065362,126.9326261,71
다사502438,37.49256335,126.9372122,0
다사530430,37.48549936,126.9689364,168
다사490441,37.49520187,126.9236172,211
다사507453,37.50611002,126.9427676,525
다사511459,37.51153922,126.9472533,363
다사508448,37.50160873,126.9439324,466
다사501460,37.51238705,126.9359318,177
다사491453,37.50602324,126.9246655,193
다사492456,37.5087327,126.9257761,492
다사490442,37.49610319,126.9236103,346
다사498450,37.50335758,126.9326056,348
다사514445,37.49893652,126.9507402,203
다사523457,37.50979933,126.9608439,484
다사492438,37.49250892,126.9259004,193
다사513463,37.51515508,126.9494898,48
다사542440,37.4945729,126.9824472,100
다사499446,37.49975772,126.9337642,317
다사527454,37.50711592,126.965389,116
다사528453,37.50621971,126.9665268,341
다사499450,37.50336301,126.933737,308
다사481435,37.48974384,126.9134786,252
다사493445,37.49882367,126.9269833,811
다사528430,37.48548917,126.9666743,116
다사509446,37.49981141,126.9450771,278
다사502455,37.50788584,126.9370972,11
다사526433,37.48818292,126.9643928,180
다사502445,37.49887262,126.9371648,151
다사534451,37.50444752,126.9733279,20
다사502450,37.50337923,126.937131,0
다사504455,37.5078966,126.93936,6
다사524441,37.49538327,126.9620789,6
다사529452,37.50532349,126.9676646,0
다사530453,37.50622991,126.9687896,107
다사539423,37.47923535,126.97916,380
다사517440,37.49444562,126.9541668,235
다사509444,37.49800876,126.9450904,412
다사497455,37.50785875,126.9314401,81
다사533435,37.49002121,126.972298,448
다사495460,37.51235444,126.929143,792
다사496442,37.49613612,126.9303977,401
다사494441,37.49522386,126.9281421,285
다사499453,37.50606698,126.9337165,161
다사477434,37.48881997,126.9089611,419
다사493446,37.49972499,126.9269765,496
다사507445,37.49889943,126.9428212,382
다사516446,37.49984834,126.9529962,336
다사512440,37.49441935,126.9485108,249
다사490443,37.49700451,126.9236034,658
다사492440,37.49431157,126.9258866,326
다사539440,37.49455798,126.9790536,309
다사518437,37.49174686,126.9553177,92
다사498441,37.49524568,126.932667,407
다사501459,37.51148573,126.9359386,104
다사535436,37.49093262,126.974554,583
다사530436,37.49090733,126.9688981,135
다사502446,37.49977394,126.9371581,143
다사497439,37.4934376,126.9315494,326
다사523448,37.5016874,126.9609023,110
다사478433,37.4879243,126.9100993,287
다사489446,37.49970295,126.9224513,123
다사518454,37.5070694,126.9552064,20
다사524432,37.48727131,126.962137,11
다사490445,37.49880716,126.9235895,401
다사526435,37.48998558,126.9643799,357
다사496446,37.4997414,126.9303703,167
다사527453,37.5062146,126.9653954,281
다사496459,37.51145858,126.9302813,58
다사524436,37.49087663,126.9621112,334
다사539420,37.47653135,126.9791787,0
다사536432,37.48733233,126.9757103,259
다사531451,37.50443234,126.9699338,0
다사513460,37.51245111,126.9495096,0
다사495447,37.50063727,126.9292322,334
다사505452,37.505198,126.9405116,27
다사511457,37.50973658,126.9472666,639
다사498439,37.49344303,126.9326806,362
다사532452,37.50533874,126.9710588,10
다사520440,37.49446125,126.9575605,322
다사509451,37.50431803,126.9450437,341
다사500454,37.50697372,126.9348411,125
다사525434,37.48907912,126.9632552,350
다사493444,37.49792235,126.9269902,253
다사507458,37.51061663,126.9427341,116
다사506457,37.50970997,126.9416094,207
다사524448,37.50169256,126.9620336,53
다사509452,37.50521935,126.9450371,33
다사501458,37.51058441,126.9359454,99
다사516456,37.50886159,126.9529304,44
다사512449,37.50253127,126.9484511,118
다사491449,37.50241796,126.9246931,391
다사522451,37.50438621,126.9597515,307
다사541431,37.48645596,126.9813721,31
다사491456,37.5087272,126.9246447,733
다사541433,37.48825862,126.9813596,114
다사476433,37.48791298,126.9078371,365
다사531438,37.49271507,126.9700166,8
다사509456,37.50882464,126.9450104,407
다사516452,37.50525629,126.9529567,168
다사525447,37.50079638,126.9631714,156
다사494460,37.51234896,126.9280115,306
다사492443,37.49701553,126.9258659,408
다사506462,37.51421658,126.9415758,11
다사508456,37.50881932,126.943879,35
다사478435,37.48972694,126.9100852,227
다사496445,37.49884008,126.9303772,232
다사489441,37.49519635,126.922486,144
다사492454,37.50693006,126.9257899,276
다사521443,37.49717042,126.9586722,0
다사535424,37.48011665,126.9746297,314
다사496443,37.49703744,126.9303909,397
다사533431,37.48641589,126.9723233,448
다사529454,37.50712614,126.9676518,294
다사477431,37.48611601,126.9089824,138
다사498443,37.49704833,126.9326534,429
다사475433,37.48790731,126.906706,501
다사478438,37.4924309,126.9100639,310
다사515453,37.50615237,126.9518187,264
다사513447,37.5007339,126.9495957,125
다사542442,37.49637556,126.9824348,109
다사476436,37.49061694,126.9078158,7
다사511458,37.5106379,126.9472599,260
다사479432,37.48702862,126.9112375,55
다사501441,37.49526193,126.9360607,383
다사531433,37.48820842,126.9700484,459
다사531435,37.49001108,126.9700357,280
다사541425,37.48104797,126.9814095,82
다사499460,37.51237622,126.9336689,211
다사507456,37.50881399,126.9427475,0
다사506450,37.50340071,126.9416564,626
다사504460,37.51240321,126.9393263,34
다사511448,37.50162466,126.9473264,281
다사512456,37.50884054,126.9484047,439
다사519439,37.49355472,126.9564358,173
다사493448,37.50152763,126.9269627,392
다사502441,37.49526732,126.9371919,415
다사502449,37.50247791,126.9371378,30
다사534428,37.48371694,126.9734734,70
다사518448,37.50166145,126.9552457,200
다사518455,37.50797072,126.9551998,42
다사498449,37.50245626,126.9326124,283
다사501442,37.49616325,126.9360539,296
다사519441,37.49535738,126.9564227,81
다사539437,37.49185399,126.9790724,209
다사533452,37.5053438,126.9721901,0
다사517449,37.50255755,126.9541078,292
다사533432,37.48731722,126.972317,171
다사490452,37.5051164,126.923541,292
다사537429,37.48463335,126.9768603,33
다사519455,37.50797594,126.9563312,194
다사506459,37.51151261,126.941596,229
다사511454,37.50703261,126.9472865,773
다사517455,37.5079655,126.9540684,66
다사530426,37.48189403,126.968962,64
다사528454,37.50712104,126.9665204,131
다사540432,37.48735232,126.9802348,130
다사534422,37.47830896,126.9735114,473
다사508462,37.51422726,126.9438388,0
다사533426,37.48190924,126.972355,180
다사534433,37.4882236,126.9734418,450
다사503447,37.50068065,126.9382826,319
다사492449,37.50242346,126.9258245,436
다사499451,37.50426433,126.9337302,248
다사524454,37.50710051,126.9619948,97
다사513452,37.50524052,126.9495626,153
다사539422,37.47833402,126.9791662,253
다사503441,37.49527271,126.9383231,321
다사502458,37.51058981,126.9370769,232
다사479434,37.48883126,126.9112234,211
다사529429,37.48459294,126.9678117,240
다사493449,37.50242895,126.9269558,364
다사515448,37.50164575,126.9518517,252
다사514450,37.50344314,126.9507072,411
다사530451,37.50442726,126.9688024,7
다사480440,37.49424482,126.9123121,511
다사507446,37.49980076,126.9428145,171
다사500459,37.51148032,126.9348071,6
다사518438,37.49264819,126.9553111,417
다사529425,37.48098761,126.9678373,120
다사507451,37.50430737,126.942781,596
다사505450,37.50339536,126.940525,0
다사508445,37.49890476,126.9439525,61
다사503440,37.49437138,126.9383299,149
다사504440,37.49437676,126.9394611,0
다사490446,37.49970848,126.9235826,225
다사529438,37.4927049,126.9677542,159
다사520453,37.50617849,126.9574757,0
다사532451,37.50443741,126.9710651,7
다사509459,37.51152861,126.9449904,185
다사510450,37.50342201,126.9461818,319
다사524446,37.4998899,126.9620465,110
다사503458,37.51059519,126.9382083,309
다사519459,37.51158123,126.9563051,237
다사502457,37.50968849,126.9370836,203
다사501461,37.51328837,126.935925,20
다사501443,37.49706458,126.9360471,260
다사475432,37.48700599,126.9067131,603
다사533433,37.48821855,126.9723107,273
다사492447,37.50062082,126.9258383,133
다사541430,37.48555463,126.9813783,41
다사498445,37.49885097,126.9326397,323
다사497453,37.50605611,126.9314538,8
다사501448,37.50157119,126.9360132,329
다사494456,37.50874368,126.928039,87
다사509458,37.51062729,126.944997,309
다사493440,37.49431706,126.9270178,71
다사534423,37.47921029,126.973505,347
다사526448,37.50170284,126.9642962,354
다사536438,37.49274031,126.9756725,74
다사493459,37.51144216,126.9268869,136
다사500442,37.49615785,126.9349226,284
다사498455,37.50786419,126.9325715,141
다사478437,37.49152958,126.910071,0
다사493456,37.5087382,126.9269076,0
다사497460,37.51236535,126.9314059,504
다사481441,37.49515176,126.9134363,9
다사528455,37.50802237,126.966514,572
다사524433,37.48817264,126.9621306,321
다사516451,37.50435497,126.9529633,421
다사511460,37.51244054,126.9472467,211
다사532428,37.48370684,126.9712113,281
다사534431,37.48642094,126.9734544,146
다사540425,37.481043,126.9802785,269
다사497456,37.50876007,126.9314333,101
다사477433,37.48791865,126.9089682,263
다사515441,37.49533647,126.9518978,437
다사540436,37.49095764,126.9802098,233
다사482442,37.49605869,126.9145605,341
다사491437,37.4916021,126.9247761,392
다사509461,37.51333126,126.944977,92
다사523440,37.49447678,126.9609541,13
다사481434,37.48884252,126.9134856,84
다사511461,37.51334187,126.94724,188
다사508463,37.51512858,126.9438321,0
다사499452,37.50516565,126.9337233,288
다사516441,37.49534171,126.953029,312
다사501452,37.50517648,126.9359861,471
다사541443,37.49727193,126.9812973,257
다사497449,37.50245082,126.9314811,276
다사474433,37.48790162,126.9055749,276
다사502451,37.50428055,126.9371242,162
다사503450,37.50338462,126.9382623,70
다사475431,37.48610467,126.9067203,444
다사509450,37.5034167,126.9450504,273
다사502453,37.5060832,126.9371107,97
다사523449,37.50258873,126.9608958,146
다사512446,37.4998273,126.948471,120
다사481433,37.48794119,126.9134927,21
다사538421,37.47742769,126.9780415,243
다사495457,37.50965048,126.9291635,539
다사510445,37.49891539,126.9462151,208
다사514444,37.49803519,126.9507468,251
다사541436,37.49096262,126.981341,179
다사536428,37.483727,126.9757355,34
다사510455,37.50792863,126.9461485,115
다사517450,37.50345888,126.9541012,252
다사494458,37.51054632,126.9280252,73
다사497444,37.49794421,126.9315153,316
다사490455,37.50782036,126.9235202,291
다사477436,37.49062261,126.9089469,176
다사491450,37.50331928,126.9246862,421
다사515458,37.51065899,126.9517858,397
다사520448,37.50167186,126.9575083,284
다사534426,37.48191428,126.9734861,332
다사523453,37.50619403,126.9608699,0
다사532432,37.48731216,126.9711859,521
다사498448,37.50155494,126.9326193,116
다사534434,37.48912493,126.9734355,584
다사529424,37.48008628,126.9678437,79
다사530421,37.47738738,126.9689938,221
다사521457,37.50978898,126.958581,105
다사541424,37.48014663,126.9814157,17
다사507443,37.49709678,126.9428346,84
다사531436,37.49091241,126.9700293,349
다사482438,37.49245341,126.9145886,0
다사535420,37.47651133,126.974655,110
다사507455,37.50791267,126.9427542,7
다사540431,37.48645099,126.980241,259
다사531423,37.47919512,126.9701121,518
다사504443,37.49708073,126.9394409,285
다사503445,37.498878,126.9382961,165
다사540439,37.49366164,126.980191,170
다사536420,37.47651635,126.9757859,98
다사511442,37.49621671,126.9473663,109
다사514462,37.51425903,126.9506279,613
다사516444,37.49804569,126.9530093,252
다사509448,37.50161405,126.9450638,138
다사510448,37.50161936,126.9461951,269
다사509441,37.49530478,126.9451104,240
다사536433,37.48823366,126.975704,587
다사537439,37.49364666,126.9767974,156
다사483443,37.49696561,126.9156847,14
다사536439,37.49364164,126.9756662,124
다사506448,37.50159806,126.9416698,252
다사530424,37.48009137,126.9689747,309
다사503456,37.50879255,126.9382218,185
다사507454,37.50701134,126.9427609,220
다사515440,37.49443514,126.9519044,290
다사495442,37.49613066,126.9292665,528
다사512453,37.50613657,126.9484246,327
다사514459,37.51155506,126.9506477,15
다사495450,37.50334123,126.9292116,208
다사501446,37.49976854,126.9360268,264
다사488447,37.50059874,126.9213131,19
다사511456,37.50883525,126.9472732,347
다사522457,37.50979416,126.9597125,165
다사518446,37.4998588,126.9552587,369
다사519458,37.51067991,126.9563116,179
다사532427,37.48280551,126.9712177,339
다사502456,37.50878716,126.9370904,285
다사515457,37.50975767,126.9517924,679
다사506449,37.50249939,126.9416631,396
다사525449,37.50259903,126.9631585,202
다사507441,37.49529413,126.942848,116
다사515456,37.50885634,126.951799,146
다사504456,37.50879793,126.9393532,125
다사513453,37.50614185,126.949556,253
다사529428,37.48369161,126.9678181,334
다사541441,37.49546927,126.9813098,0
다사517454,37.50706418,126.954075,231
다사518439,37.49354951,126.9553046,365
다사525436,37.49088177,126.9632423,393
다사500450,37.50336843,126.9348683,243
다사506447,37.50069674,126.9416765,258
다사532425,37.48100285,126.9712304,342
다사491454,37.50692456,126.9246586,459
다사541435,37.49006128,126.9813472,265
다사506442,37.49619012,126.9417101,58
다사474430,37.48519766,126.9055963,90
다사495443,37.49703198,126.9292596,481
다사514454,37.50704844,126.9506807,322
다사503448,37.50158197,126.9382758,72
다사512457,37.50974187,126.948398,359
다사526434,37.48908425,126.9643864,133
다사517452,37.50526153,126.9540881,51
다사515444,37.49804045,126.951878,76
다사508451,37.50431271,126.9439124,366
다사516443,37.49714436,126.9530159,100
다사527451,37.50441194,126.9654083,91
다사506444,37.49799277,126.9416966,462
다사532454,37.50714139,126.971046,95
다사500452,37.50517107,126.9348547,405
다사538430,37.48553968,126.9779851,254
다사515442,37.49623779,126.9518912,295
다사532419,37.47559486,126.9712685,58
다사532431,37.48641083,126.9711922,266
다사541428,37.48375196,126.9813908,280
다사506452,37.50520335,126.941643,311
다사521446,37.4998744,126.9586526,287
다사511453,37.50613128,126.9472932,192
다사538437,37.491849,126.9779412,275
다사536423,37.47922035,126.975767,422
다사540424,37.48014166,126.9802847,307
다사507444,37.49799811,126.9428279,392
다사500451,37.50426975,126.9348615,363
다사537438,37.49274533,126.9768037,191
다사538446,37.49996097,126.9778847,0
다사519456,37.50887726,126.9563247,146
다사522453,37.50618886,126.9597385,38
다사495441,37.49522933,126.9292733,332
다사541438,37.49276528,126.9813285,150
다사505446,37.49979006,126.9405519,246
다사508442,37.49620079,126.9439725,317
다사489442,37.49609767,126.9224791,236
다사526451,37.50440682,126.9642769,0
다사515454,37.5070537,126.9518121,250
다사530438,37.49270999,126.9688854,155
다사477435,37.48972129,126.908954,249
다사500446,37.49976314,126.9348955,184
다사534425,37.48101295,126.9734924,315
다사492460,37.51233798,126.9257485,0
다사479437,37.49153522,126.9112021,214
다사517447,37.5007549,126.9541209,397
다사509443,37.49710743,126.9450971,342
다사505459,37.51150726,126.9404645,29
다사510444,37.49801407,126.9462217,272
다사513443,37.4971286,126.9496221,99
다사480434,37.48883689,126.9123545,238
다사517437,37.49174164,126.9541865,218
다사540437,37.49185897,126.9802035,155
다사515459,37.51156032,126.9517792,249
다사536435,37.49003632,126.9756914,785
다사503460,37.51239784,126.9381948,538
다사528426,37.48188385,126.9666999,151
다사492445,37.49881818,126.9258521,351
다사517459,37.5115708,126.9540421,170
다사501451,37.50427516,126.9359929,243
다사509442,37.49620611,126.9451038,417
다사526453,37.50620947,126.964264,271
다사537420,37.47652136,126.9769168,0
다사528438,37.4926998,126.966623,6
다사506461,37.51331526,126.9415825,29
다사527452,37.50531327,126.9654019,482
다사488444,37.49789477,126.9213339,224
다사512441,37.49532067,126.9485041,355
다사515439,37.49353382,126.951911,132
다사500447,37.50066446,126.9348887,400
다사542441,37.49547423,126.982441,9
다사496458,37.51055726,126.9302881,223
다사537432,37.48733734,126.9768414,428
다사494442,37.49612518,126.9281352,270
다사506460,37.51241393,126.9415892,810
다사512454,37.50703789,126.9484179,393
다사541429,37.48465329,126.9813846,14
다사498438,37.49254171,126.9326874,9
다사510454,37.50702731,126.9461551,633
다사501454,37.50697912,126.9359725,0
다사480442,37.49604746,126.912298,353
다사506446,37.49979541,126.9416832,425
다사500458,37.510579,126.9348139,10
다사497457,37.50966139,126.9314264,299
다사497458,37.51056271,126.9314196,434
다사502452,37.50518188,126.9371175,117
다사510462,37.51423789,126.9461018,0
다사493447,37.50062631,126.9269696,230
