GID,위도,경도,생활인구수,가까운 지하철역,지하철역까지거리(m)
다사534429,37.48461828,126.9734671,356,남성,208.3
다사501453,37.5060778,126.9359793,63,장승배기,301.61
다사529453,37.50622482,126.9676582,6,흑석,484.04
다사527450,37.50351062,126.9654147,339,흑석,638.58
다사532423,37.47920019,126.9712431,233,남성,610.33
다사535427,37.48282065,126.9746108,117,남성,372.34
다사497450,37.50335214,126.9314743,13,신대방삼거리,495.88
다사529451,37.50442216,126.967671,13,흑석,633.23
다사491447,37.50061531,126.924707,368,신대방삼거리,325.44
다사541442,37.4963706,126.9813036,219,구반포,780.36
다사506443,37.49709144,126.9417034,255,상도,839.69
다사508454,37.50701668,126.9438923,535,장승배기,492.59
다사491448,37.50151664,126.9247001,468,신대방삼거리,369.26
다사499454,37.5069683,126.9337097,206,장승배기,524.95
다사524447,37.50079123,126.9620401,412,숭실대입구,895.58
다사535430,37.48552464,126.9745918,162,남성,321.16
다사491444,37.49791135,126.9247277,561,신대방삼거리,367.59
다사481439,37.49334912,126.9134504,58,보라매공원,480.15
다사492458,37.51053534,126.9257623,356,대방,230.38
다사501450,37.50337384,126.9359996,232,장승배기,313.02
다사528452,37.50531839,126.9665332,6,흑석,494.26
다사487445,37.49879055,126.9201957,7,보라매,125.36
다사540429,37.48464832,126.9802535,316,이수,249.76
다사492444,37.49791685,126.925859,551,신대방삼거리,288.75
다사514455,37.50794976,126.9506741,366,노들,573.37
다사519438,37.4926534,126.9564423,168,숭실대입구,470.51
다사539433,37.48824867,126.9790974,145,이수,311.32
다사497447,37.50064818,126.9314948,106,신대방삼거리,307.05
다사494459,37.51144764,126.9280184,103,대방,190.03
다사524449,37.50259388,126.9620271,486,흑석,728.53
다사524435,37.4899753,126.9621176,178,남성,987.36
다사539441,37.49545931,126.9790473,195,동작,906.97
다사528428,37.48368651,126.9666871,0,남성,405.66
다사518444,37.49805614,126.9552718,234,숭실대입구,245.91
다사531432,37.48730709,126.9700548,318,남성,305.7
다사475435,37.48970995,126.9066918,16,신대방,629.54
다사523458,37.51070066,126.9608374,417,흑석,296.89
