대중교통,역(정류장),호선(명),노선(수),지하철 여부(Y/N),버스 여부(Y/N),따릉이 여부(Y/N),x_좌표,y_좌표,동 이름,GID,대여소번호,NODE_ID,ARS_ID,지번_주소,도로명_주소,일평균승차승객수,일평균하차승객수,일평균총승객수,월승차승객수,월하차승객수,월이용객수
버스,교수아파트,,1,N,Y,N,126.9134228,37.49629638,신대방동,11590109,,119900236,20928,서울 동작구 신대방동 710,"서울특별시 동작구 여의대방로10길 14 (신대방동, 경남교수아파트)",9.03,37.13,46.17,271,1875,1385
버스,대방중학교,,1,N,Y,N,126.914493,37.495492,신대방동,11590109,,119900299,20971,서울 동작구 신대방동 470-10,,44.7,72.53,117.23,1341,1875,3517
버스,수도여고,,1,N,Y,N,126.9152513,37.49355475,신대방동,11590109,,119900300,20973,서울 동작구 신대방동 470-13,서울특별시 동작구 여의대방로10길 73 (신대방동),134.8,64.27,199.07,4044,1875,5972
버스,보라매공원,,7,N,Y,N,126.916221,37.496899,신대방동,11590109,,119000004,20004,서울 동작구 신대방동 500-8,,233.11,191.07,424.18,41960,1875,76353
버스,동작구민체육센터.기상청,,1,N,Y,N,126.9171797,37.49441397,신대방동,11590109,,119900302,20975,서울 동작구 신대방동 460-37,,24.67,24.8,49.47,740,1875,1484
버스,동작구민체육센터.기상청,,1,N,Y,N,126.9172421,37.4942401,신대방동,11590109,,119900301,20974,서울 동작구 신대방동 460-18,서울특별시 동작구 여의대방로16길 61 (신대방동),13.43,28.53,41.97,403,1875,1259
버스,보라매공원입구,,1,N,Y,N,126.917914,37.495679,신대방동,11590109,,119900235,20929,서울 동작구 신대방동 722,서울특별시 동작구 보라매로5길 28 (신대방동),24.53,10.93,35.47,736,1875,1064
버스,보라매공원입구,,1,N,Y,N,126.918086,37.496008,신대방동,11590109,,119900063,20527,서울 동작구 신대방동 722,서울특별시 동작구 보라매로5길 28 (신대방동),12.47,43.9,56.37,374,1875,1691
버스,보라매공원,,1,N,Y,N,126.918239,37.494769,신대방동,11590109,,119900234,20930,서울 동작구 신대방동 722,서울특별시 동작구 보라매로5길 28 (신대방동),6.38,8,14.38,185,1875,417
버스,보라매공원,,1,N,Y,N,126.918577,37.49462,신대방동,11590109,,119900074,20512,서울 동작구 신대방동 722,서울특별시 동작구 보라매로5길 28 (신대방동),10.16,34.8,44.96,305,1875,1349
버스,보라매역.동작세무서,,8,N,Y,N,126.9201964,37.4981412,신대방동,11590109,,119000005,20005,서울 동작구 신대방동 377-5,,170.46,221,391.46,35797,1875,82207
