GID,위도,경도,생활인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수
다사573503,37.55150519,127.0171494,30.0,3,14,25
다사568497,37.54607394,127.0115243,307.0,0,8,21
다사607484,37.53453099,127.0557421,58.0,1,4,7
다사591523,37.56961332,127.0374156,59.0,1,4,7
다사599500,37.54891789,127.0466001,479.0,0,5,10
다사617501,37.54989571,127.0669719,249.0,3,13,18
다사584503,37.55155545,127.0296024,77.0,2,24,36
다사597513,37.56062646,127.0442647,121.0,8,17,25
다사575494,37.54340247,127.0194656,278.0,0,5,14
다사606513,37.56066536,127.0544547,22.0,0,1,3
다사600490,37.53990892,127.0477866,161.0,2,12,15
다사581510,37.55785117,127.0261661,678.0,1,19,32
다사569494,37.54337464,127.0126739,333.0,11,23,33
다사588515,37.56238934,127.0340634,265.0,3,12,15
다사614505,37.55348854,127.0635546,0.0,0,0,0
다사578510,37.55783749,127.0227696,400.0,1,11,29
다사594508,37.55610666,127.0408956,405.0,2,14,19
다사597492,37.54169853,127.0443799,141.0,5,12,18
다사605486,37.53632512,127.0534677,136.0,0,5,12
다사594514,37.56151463,127.0408624,503.0,3,10,26
다사593520,37.56691819,127.0396969,162.0,0,11,14
다사592517,37.56420979,127.0385813,173.0,4,11,24
다사606498,37.54714539,127.0545352,78.0,0,5,8
다사605516,37.56336507,127.0533063,217.0,0,4,9
다사608486,37.53633791,127.0568633,213.0,5,12,18
다사602501,37.54983222,127.0499908,167.0,1,2,7
다사598493,37.54260422,127.0455064,139.0,4,13,23
다사600500,37.54892223,127.0477322,351.0,0,4,11
다사591515,37.5624027,127.0374601,159.0,3,13,22
다사620505,37.55351345,127.0703474,48.0,0,8,11
다사605498,37.54714112,127.0534032,0.0,0,5,12
다사574493,37.54249653,127.0183395,439.0,2,4,13
다사599519,37.56604315,127.0464963,133.0,0,4,11
다사606492,37.5417374,127.0545674,261.0,2,10,19
다사581497,37.5461339,127.0262403,270.0,2,15,18
다사584513,37.56056873,127.0295457,356.0,0,2,11
다사579496,37.54522347,127.023982,278.0,3,7,19
다사570492,37.54157665,127.0138175,356.0,4,31,33
다사570499,37.54788594,127.0137766,346.0,2,14,21
다사588510,37.55788271,127.0340914,39.0,9,16,28
다사609486,37.53634215,127.0579951,175.0,4,14,17
다사612500,37.54897349,127.0613168,8.0,1,2,5
다사580498,37.54703069,127.0251026,133.0,6,19,24
다사608497,37.54625258,127.0568046,154.0,0,7,9
다사594510,37.55790932,127.0408846,0.0,5,20,23
다사578501,37.54972554,127.0228213,444.0,0,15,34
다사592515,37.56240713,127.0385924,89.0,3,15,25
다사579511,37.55874338,127.023896,240.0,5,10,25
다사593499,37.54799029,127.0398133,216.0,0,0,1
다사575504,37.55241575,127.0194078,92.0,3,14,28
다사569495,37.54427597,127.012668,148.0,6,21,31
다사592516,37.56330846,127.0385868,142.0,2,15,21
다사582503,37.55154641,127.0273382,719.0,6,20,43
다사590524,37.5705102,127.0362776,179.0,1,4,6
다사603502,37.55073786,127.0511175,310.0,2,2,4
다사609515,37.56248079,127.0578408,29.0,3,5,9
다사590508,37.55608896,127.036367,164.0,0,20,39
다사589515,37.56239381,127.0351956,25.0,2,15,17
다사617500,37.54899438,127.0669771,243.0,5,12,19
다사593515,37.56241155,127.0397246,77.0,0,11,24
다사606491,37.54083606,127.0545727,6.0,6,12,20
다사601496,37.54532124,127.0488859,30.0,3,7,15
다사612514,37.56159213,127.0612428,453.0,3,3,7
다사589504,37.5524792,127.0352572,362.0,4,18,33
다사586501,37.54976179,127.0318778,342.0,8,12,21
다사575505,37.55331708,127.019402,194.0,6,16,28
다사617503,37.55169838,127.0669614,197.0,1,7,11
다사567492,37.54156262,127.0104217,249.0,7,17,23
다사592519,37.56601244,127.0385702,115.0,2,11,18
다사593512,37.55970757,127.0397413,291.0,1,19,27
다사611491,37.54085728,127.0602324,75.0,0,7,10
다사588506,37.55427739,127.0341139,139.0,14,26,38
다사580514,37.56145192,127.0250111,592.0,6,11,15
다사595500,37.54890042,127.0420719,0.0,0,2,4
다사590519,37.56600357,127.0363055,95.0,4,9,13
다사578502,37.55062687,127.0228156,181.0,0,11,36
다사605488,37.53812779,127.0534569,181.0,5,14,25
다사606514,37.56156669,127.0544494,338.0,0,1,2
다사602518,37.56515483,127.0498987,33.0,0,0,5
다사595518,37.56512434,127.0419726,0.0,5,9,15
다사603515,37.56245515,127.0510472,32.0,0,3,7
다사614492,37.54177121,127.063623,0.0,4,9,13
다사604499,37.54803816,127.0522658,143.0,0,3,11
다사618504,37.55260386,127.0680883,268.0,2,8,11
다사598515,37.56243349,127.0453859,17.0,0,8,17
다사603501,37.54983653,127.0511229,0.0,1,2,5
다사592510,37.55790049,127.0386202,20.0,6,10,26
다사606497,37.54624406,127.0545406,113.0,2,4,10
다사597517,37.56423178,127.0442427,249.0,0,7,15
다사620508,37.55621745,127.0703319,370.0,1,4,4
다사603498,37.54713253,127.0511391,19.0,1,5,8
다사599488,37.53810191,127.0466656,268.0,2,4,11
다사600498,37.54711957,127.0477431,176.0,2,8,12
다사573492,37.54159058,127.0172133,21.0,3,5,17
다사571490,37.53977865,127.0149611,237.0,3,8,18
다사588516,37.56329067,127.0340578,246.0,3,7,19
다사592506,37.55429518,127.0386424,589.0,4,9,17
다사585521,37.56778385,127.0306327,192.0,5,10,16
다사602488,37.5381149,127.0500613,186.0,2,7,15
다사606499,37.54804672,127.0545298,143.0,0,4,8
다사591519,37.56600801,127.0374378,0.0,4,10,15
다사595523,37.56963098,127.041945,593.0,1,3,15
다사570501,37.54968859,127.0137648,253.0,3,17,23
다사598513,37.56063083,127.0453969,209.0,6,12,21
다사589525,37.57140707,127.0351396,50.0,0,4,7
다사606494,37.54354006,127.0545567,36.0,2,9,14
다사573499,37.54789988,127.0171726,157.0,6,20,36
다사599487,37.53720058,127.0466711,225.0,0,4,4
다사608496,37.54535125,127.0568099,203.0,1,7,9
다사572491,37.54068462,127.0160872,455.0,2,8,17
다사600511,37.55883687,127.0476722,6.0,0,18,24
다사583513,37.56056421,127.0284135,374.0,2,3,9
다사574502,37.55060848,127.0182873,104.0,2,22,28
다사580508,37.55604396,127.0250454,301.0,12,25,39
다사602489,37.53901623,127.0500559,97.0,4,13,18
다사582516,37.56326366,127.0272642,385.0,0,6,16
다사576499,37.54791372,127.0205687,174.0,10,19,33
다사581512,37.55965382,127.0261547,439.0,3,13,19
다사618513,37.56071585,127.0680415,67.0,3,5,7
다사583509,37.5569589,127.0284362,75.0,3,10,25
다사600502,37.5507249,127.0477213,562.0,1,4,8
다사575496,37.54520513,127.0194541,321.0,3,8,22
다사594509,37.55700799,127.0408901,168.0,3,14,23
다사588505,37.55337606,127.0341195,298.0,6,28,37
다사598489,37.53899889,127.0455282,274.0,2,5,11
다사589505,37.55338053,127.0352516,785.0,1,22,34
다사581505,37.55334453,127.0261947,583.0,8,31,44
다사580512,37.55964927,127.0250225,148.0,3,14,16
다사598497,37.54620955,127.0454845,108.0,4,7,14
다사582512,37.55965836,127.0272869,355.0,3,3,20
다사606516,37.56336935,127.0544386,350.0,0,7,12
다사603518,37.56515914,127.051031,154.0,0,4,9
다사575507,37.55511973,127.0193904,48.0,9,21,27
다사568492,37.54156731,127.0115537,9.0,9,22,28
다사598517,37.56423614,127.045375,371.0,0,0,13
다사583516,37.56326819,127.0283964,389.0,1,5,14
다사594522,37.56872525,127.0408182,18.0,0,1,14
다사586518,37.56508437,127.0317819,319.0,2,9,15
다사582501,37.54974376,127.0273496,301.0,2,21,34
다사572493,37.54248728,127.0160756,134.0,2,16,27
다사571498,37.54698927,127.0149144,67.0,3,15,30
다사599489,37.53900324,127.0466601,95.0,2,8,13
다사595519,37.56602567,127.0419671,18.0,6,10,13
다사584511,37.55876608,127.029557,336.0,2,7,15
다사596517,37.5642274,127.0431104,203.0,0,9,15
다사588514,37.56148802,127.034069,153.0,2,12,21
다사573494,37.54339324,127.0172017,11.0,0,12,24
다사591510,37.55789606,127.037488,0.0,4,14,32
다사597515,37.56242912,127.0442537,9.0,2,8,22
다사585511,37.55877058,127.0306892,383.0,2,10,16
다사609496,37.54535549,127.0579419,69.0,1,7,9
다사587511,37.55877956,127.0329536,102.0,6,13,20
다사598501,37.54981487,127.0454626,130.0,1,6,7
다사598518,37.56513747,127.0453695,475.0,0,6,11
다사614499,37.54808054,127.0635862,0.0,2,6,12
다사577499,37.54791831,127.0217008,112.0,7,19,31
다사566491,37.54065659,127.0092957,30.0,0,8,18
다사581514,37.56145647,127.0261433,357.0,2,9,13
다사570490,37.53977399,127.0138292,172.0,3,13,22
다사589512,37.55968982,127.0352124,173.0,3,18,25
다사584520,37.56687802,127.029506,559.0,5,13,18
다사574498,37.54700317,127.0183105,217.0,5,23,34
다사587500,37.54886495,127.0330155,217.0,2,11,15
다사597521,37.56783709,127.0442207,204.0,4,10,16
다사587502,37.55066761,127.0330043,278.0,4,19,28
다사588523,37.56959996,127.0340185,212.0,1,1,13
다사578503,37.5515282,127.0228098,510.0,0,12,33
다사582523,37.56957294,127.0272243,209.0,3,9,17
다사580524,37.57046518,127.0249538,868.0,3,8,13
다사581523,37.5695684,127.0260919,157.0,3,10,17
다사577506,37.5542276,127.0216605,355.0,8,22,38
다사582513,37.56055968,127.0272812,206.0,3,5,12
다사587505,37.55337159,127.0329874,547.0,7,31,39
다사587499,37.54796362,127.0330211,0.0,0,6,12
다사597502,37.55071184,127.044325,0.0,2,4,6
다사572490,37.53978329,127.0160931,334.0,1,7,11
다사597490,37.53989586,127.0443909,143.0,1,9,13
다사582524,37.57047427,127.0272186,0.0,2,5,18
다사600518,37.56514617,127.0476341,0.0,0,0,4
다사607514,37.56157096,127.0555816,0.0,1,2,4
다사607516,37.56337362,127.0555709,369.0,0,9,11
다사601492,37.54171591,127.0489077,146.0,5,11,18
다사610495,37.54445839,127.0590792,0.0,3,5,9
다사618500,37.54899853,127.0681091,0.0,3,13,21
다사589506,37.55428186,127.035246,285.0,7,24,35
다사598494,37.54350555,127.0455009,245.0,3,13,22
다사582505,37.55334907,127.0273268,163.0,6,30,44
다사581508,37.55604851,127.0261776,264.0,11,25,34
다사580507,37.55514264,127.0250511,208.0,15,31,41
다사579510,37.55784206,127.0239018,51.0,5,15,28
다사610498,37.54716239,127.0590633,150.0,0,1,5
다사609484,37.53453949,127.0580058,111.0,0,7,12
다사602491,37.5408189,127.050045,510.0,3,12,23
다사576509,37.55692699,127.020511,350.0,4,16,28
다사584516,37.56327271,127.0295287,70.0,1,7,9
다사615513,37.56070337,127.0646448,177.0,1,6,10
다사581504,37.5524432,127.0262004,360.0,12,26,40
다사579519,37.56595399,127.0238502,287.0,5,13,17
다사603492,37.54172454,127.0511716,216.0,0,13,17
다사570497,37.54608329,127.0137883,156.0,4,15,29
다사578506,37.55423218,127.0227926,616.0,7,31,46
다사590509,37.55699029,127.0363614,58.0,0,22,34
다사583512,37.55966289,127.0284192,610.0,0,7,9
다사580510,37.55784662,127.025034,349.0,4,18,33
다사573505,37.55330784,127.0171378,0.0,1,8,22
다사602494,37.54352289,127.0500288,8.0,3,7,15
다사580520,37.56685988,127.0249767,410.0,5,16,20
다사587501,37.54976628,127.0330099,157.0,4,14,19
다사611500,37.54896927,127.0601848,10.0,0,2,4
다사579499,37.54792746,127.0239648,69.0,6,19,30
다사593510,37.55790491,127.0397524,25.0,7,12,25
다사585513,37.56057324,127.0306779,217.0,0,0,12
다사607485,37.53543233,127.0557368,146.0,1,7,13
다사599490,37.53990458,127.0466547,76.0,3,9,18
다사569491,37.54067066,127.0126915,168.0,8,18,31
다사593516,37.56331288,127.0397191,547.0,2,10,24
다사585507,37.55516527,127.0307118,190.0,2,21,40
다사603490,37.53992187,127.0511824,29.0,3,15,22
다사591524,37.57051464,127.03741,95.0,2,3,9
다사594524,37.57052791,127.0408071,0.0,0,4,12
다사579514,37.56144736,127.0238788,0.0,6,11,14
다사601514,37.56154519,127.0487881,465.0,2,8,11
다사568491,37.54066598,127.0115595,221.0,9,17,26
다사576505,37.55332168,127.0205341,223.0,8,18,30
다사607486,37.53633366,127.0557314,208.0,2,11,19
다사619505,37.55350933,127.0692153,158.0,0,9,11
다사590512,37.55969428,127.0363446,39.0,2,16,25
다사568495,37.54427129,127.011536,157.0,5,16,29
다사606500,37.54894806,127.0545245,215.0,2,3,5
다사584502,37.55065413,127.029608,513.0,7,24,39
다사582511,37.55875703,127.0272926,454.0,0,10,25
다사609492,37.54175016,127.0579632,9.0,0,5,13
다사584518,37.56507536,127.0295174,392.0,5,10,15
다사599495,37.54441124,127.0466274,243.0,1,9,21
다사606488,37.53813206,127.0545888,110.0,5,16,24
다사613492,37.54176702,127.062491,7.0,3,9,11
다사604514,37.56155812,127.0521849,209.0,0,3,5
다사591521,37.56781066,127.0374267,99.0,2,5,9
다사588518,37.56509333,127.0340465,165.0,0,9,16
다사617504,37.55259971,127.0669562,66.0,0,6,9
다사584517,37.56417404,127.029523,177.0,4,6,13
다사588508,37.55608005,127.0341027,107.0,8,27,31
다사601515,37.56244652,127.0487827,212.0,2,5,11
다사586522,37.56868967,127.0317594,228.0,2,8,12
다사611487,37.53725194,127.0602536,33.0,6,13,16
다사598522,37.56874278,127.0453476,43.0,4,12,17
다사611485,37.53544927,127.0602642,17.0,2,12,12
다사574507,37.55511512,127.0182583,380.0,3,16,24
다사615496,37.54538072,127.0647339,6.0,2,9,16
다사598495,37.54440688,127.0454954,154.0,3,9,22
다사617502,37.55079705,127.0669667,297.0,3,8,16
다사607497,37.54624832,127.0556726,459.0,0,6,9
다사572501,37.5496979,127.016029,612.0,10,13,28
다사575498,37.54700779,127.0194425,144.0,7,22,31
다사576510,37.55782831,127.0205052,166.0,2,9,25
다사570495,37.54428063,127.0138,370.0,9,22,30
다사610494,37.54355706,127.0590845,0.0,2,5,7
다사576507,37.55512433,127.0205226,24.0,11,21,34
다사572502,37.55059922,127.0160231,571.0,5,14,28
다사610486,37.53634638,127.059127,179.0,6,12,17
다사595508,37.55611106,127.0420278,215.0,3,11,20
다사599518,37.56514183,127.0465018,294.0,0,2,8
다사585512,37.55967191,127.0306836,390.0,0,5,18
다사585501,37.5497573,127.0307458,86.0,7,11,30
다사599512,37.55973385,127.0465346,563.0,3,14,22
다사600489,37.53900758,127.0477921,126.0,0,10,13
다사616496,37.54538489,127.0658659,212.0,3,8,14
다사586507,37.55516977,127.031844,402.0,4,22,44
다사595515,37.56242036,127.0419892,288.0,2,10,24
다사582517,37.56416499,127.0272585,380.0,2,8,17
다사602490,37.53991756,127.0500504,21.0,3,13,22
다사583501,37.54974828,127.0284816,96.0,1,20,35
다사578508,37.55603483,127.0227811,187.0,4,29,45
다사583522,37.56867615,127.0283623,284.0,1,13,17
다사620506,37.55441479,127.0703422,213.0,2,5,11
다사593517,37.56421421,127.0397136,514.0,4,12,22
다사605497,37.54623978,127.0534086,0.0,1,6,9
다사586519,37.56598569,127.0317763,236.0,2,9,16
다사590522,37.56870755,127.0362888,65.0,0,6,9
다사578495,37.54431757,127.0228558,314.0,2,4,10
다사606493,37.54263873,127.054562,179.0,2,11,16
다사611492,37.54175861,127.0602271,0.0,0,6,12
다사582519,37.56596764,127.0272471,158.0,2,14,23
다사572500,37.54879657,127.0160348,104.0,10,13,33
다사607517,37.56427494,127.0555655,144.0,3,11,12
다사590521,37.56780622,127.0362944,129.0,3,5,10
다사583520,37.5668735,127.0283737,175.0,4,16,22
다사583500,37.54884695,127.0284873,255.0,3,17,29
다사589514,37.56149248,127.0352012,173.0,2,14,22
다사598499,37.54801221,127.0454735,31.0,2,5,11
다사602517,37.5642535,127.0499041,28.0,0,0,3
다사591504,37.55248809,127.0375214,105.0,3,9,20
다사595517,37.56422301,127.0419781,224.0,3,10,16
다사604492,37.54172883,127.0523035,313.0,3,12,21
다사585520,37.56688252,127.0306383,86.0,4,12,16
다사605517,37.5642664,127.053301,277.0,0,6,12
다사615500,37.54898605,127.064713,322.0,2,9,15
다사571499,37.5478906,127.0149086,194.0,3,16,26
다사594519,37.56602127,127.0408348,373.0,5,9,17
다사575502,37.5506131,127.0194194,135.0,4,18,32
다사590504,37.55248365,127.0363893,500.0,2,15,23
다사603520,37.56696179,127.0510202,19.0,1,6,11
다사605500,37.54894378,127.0533924,351.0,0,2,7
다사596497,37.54620081,127.0432205,70.0,2,6,12
