GID,위도,경도,생활인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수
다사508454,37.50701668,126.9438923,535,3,14,32
다사491448,37.50151664,126.9247001,468,0,11,18
다사499454,37.5069683,126.9337097,206,4,9,14
다사524447,37.50079123,126.9620401,412,3,12,14
다사535430,37.48552464,126.9745918,162,2,17,27
다사491444,37.49791135,126.9247277,561,3,12,18
다사481439,37.49334912,126.9134504,58,1,9,13
다사492458,37.51053534,126.9257623,356,2,11,24
다사501450,37.50337384,126.9359996,232,5,16,22
다사528452,37.50531839,126.9665332,6,1,10,10
다사487445,37.49879055,126.9201957,7,7,12,21
다사540429,37.48464832,126.9802535,316,5,13,21
다사492444,37.49791685,126.925859,551,1,13,21
다사514455,37.50794976,126.9506741,366,5,14,24
다사519438,37.4926534,126.9564423,168,5,11,13
다사539433,37.48824867,126.9790974,145,0,6,16
다사497447,37.50064818,126.9314948,106,4,11,20
다사494459,37.51144764,126.9280184,103,0,7,25
다사524449,37.50259388,126.9620271,486,3,11,16
다사524435,37.4899753,126.9621176,178,2,7,12
다사539441,37.49545931,126.9790473,195,0,3,7
다사528428,37.48368651,126.9666871,0,3,9,16
다사518444,37.49805614,126.9552718,234,0,8,16
다사531432,37.48730709,126.9700548,318,0,12,21
다사475435,37.48970995,126.9066918,16,3,9,14
다사523458,37.51070066,126.9608374,417,4,8,12
다사537433,37.48823867,126.9768352,260,4,10,15
다사477437,37.49152393,126.9089398,0,2,5,10
다사531430,37.48550443,126.9700675,203,5,12,21
다사542439,37.49367157,126.9824535,133,5,8,17
다사494448,37.50153312,126.928094,397,1,9,17
다사521451,37.50438103,126.9586201,458,0,11,14
다사532433,37.48821349,126.9711795,135,2,7,21
다사515460,37.51246164,126.9517726,45,8,17,20
다사482440,37.49425605,126.9145745,544,4,10,19
다사497446,37.49974685,126.9315016,40,6,16,24
다사499441,37.49525111,126.9337982,354,7,22,30
다사525454,37.50710566,126.9631262,121,2,16,20
다사500461,37.51328296,126.9347936,226,5,9,13
다사508453,37.50611535,126.943899,455,2,19,32
다사475434,37.48880863,126.9066989,81,4,9,14
다사534437,37.49182892,126.9734165,510,2,7,12
다사503459,37.51149652,126.9382016,284,0,9,14
다사516460,37.51246688,126.9529041,281,8,17,22
다사533436,37.49092254,126.9722916,443,2,10,12
다사504450,37.50338999,126.9393937,66,3,15,22
다사514448,37.50164049,126.9507204,416,1,7,19
다사495444,37.4979333,126.9292528,315,7,15,26
다사517444,37.49805092,126.9541406,510,2,10,12
다사511447,37.50072334,126.947333,467,0,9,16
다사478432,37.48702298,126.9101064,107,2,12,18
다사525445,37.49899372,126.9631843,9,1,4,10
다사492450,37.50332478,126.9258176,119,3,9,16
다사492442,37.49611421,126.9258728,344,0,8,16
다사510441,37.49531009,126.9462417,242,0,7,21
다사503461,37.51329916,126.938188,61,2,8,13
다사513442,37.49622728,126.9496287,387,0,1,7
다사512442,37.496222,126.9484975,338,0,0,3
다사481438,37.4924478,126.9134574,299,0,3,11
다사496462,37.51416254,126.9302607,178,0,10,14
다사516450,37.50345364,126.9529699,431,3,10,17
다사541427,37.48285063,126.981397,67,3,10,15
다사537431,37.48643601,126.9768477,309,0,13,25
다사520441,37.49536258,126.9575539,60,2,4,12
다사517439,37.49354429,126.9541734,393,0,4,19
