GID,위도,경도,생활인구수
다사619506,37.55441066,127.0692101,277
다사587522,37.56869416,127.0328917,400
다사610514,37.56158369,127.0589783,182
다사579524,37.57046062,127.0238215,133
다사579498,37.54702613,127.0239706,320
다사608490,37.53994325,127.0568419,80
다사613493,37.54266835,127.0624857,0
다사587519,37.56599018,127.0329086,146
다사608485,37.53543658,127.0568686,407
다사612496,37.54536815,127.0613379,0
다사569493,37.54247331,127.0126797,350
다사576503,37.55151903,127.0205457,249
다사618501,37.54989986,127.0681039,97
다사585522,37.56868517,127.030627,536
다사588507,37.55517872,127.0341083,159
다사607515,37.56247229,127.0555762,100
다사598503,37.55161753,127.0454516,21
다사592524,37.57051908,127.0385424,54
다사598492,37.54170289,127.0455118,362
다사601512,37.55974253,127.048799,130
다사583503,37.55155094,127.0284703,85
다사591518,37.56510668,127.0374434,270
다사621508,37.55622157,127.071464,100
다사593524,37.5705235,127.0396747,149
다사587503,37.55156894,127.0329986,342
다사612491,37.54086149,127.0613643,0
다사584505,37.55335811,127.029591,326
다사607490,37.53993899,127.05571,13
다사579497,37.5461248,127.0239763,458
다사613514,37.56159633,127.0623751,259
다사605487,37.53722645,127.0534623,204
다사595509,37.55701239,127.0420223,320
다사599501,37.54981922,127.0465946,306
다사619502,37.55080533,127.0692308,0
다사591520,37.56690934,127.0374323,82
다사571494,37.54338396,127.0149378,254
다사609499,37.54805949,127.057926,0
다사566492,37.54155792,127.0092898,151
다사577495,37.54431299,127.0217238,369
다사608489,37.53904191,127.0568473,415
다사583504,37.55245227,127.0284646,147
다사596500,37.5489048,127.043204,43
다사614500,37.54898188,127.0635809,127
다사610489,37.53905039,127.0591111,141
다사599513,37.56063518,127.0465291,306
다사583523,37.56957747,127.0283566,199
다사603516,37.56335648,127.0510418,192
다사596522,37.56873404,127.0430829,788
다사577500,37.54881963,127.021695,176
다사601513,37.56064386,127.0487936,223
다사598502,37.5507162,127.0454571,179
다사601522,37.56875582,127.0487446,93
다사579502,37.55063144,127.0239476,697
다사584508,37.55606209,127.029574,654
다사571495,37.54428529,127.0149319,346
다사572494,37.54338861,127.0160698,207
다사585502,37.55065863,127.0307401,430
다사603495,37.54442853,127.0511553,285
다사580513,37.5605506,127.0250168,549
다사581515,37.5623578,127.0261376,157
다사589510,37.55788717,127.0352236,65
다사606489,37.5390334,127.0545835,27
다사611489,37.53905461,127.060243,57
다사599497,37.5462139,127.0466165,197
다사573503,37.55150519,127.0171494,30
다사568497,37.54607394,127.0115243,307
다사607484,37.53453099,127.0557421,58
다사591523,37.56961332,127.0374156,59
다사599500,37.54891789,127.0466001,479
다사617501,37.54989571,127.0669719,249
다사584503,37.55155545,127.0296024,77
다사597513,37.56062646,127.0442647,121
다사575494,37.54340247,127.0194656,278
다사606513,37.56066536,127.0544547,22
다사600490,37.53990892,127.0477866,161
다사581510,37.55785117,127.0261661,678
다사569494,37.54337464,127.0126739,333
다사588515,37.56238934,127.0340634,265
다사614505,37.55348854,127.0635546,0
다사578510,37.55783749,127.0227696,400
다사594508,37.55610666,127.0408956,405
다사597492,37.54169853,127.0443799,141
다사605486,37.53632512,127.0534677,136
다사594514,37.56151463,127.0408624,503
다사593520,37.56691819,127.0396969,162
다사592517,37.56420979,127.0385813,173
다사606498,37.54714539,127.0545352,78
다사605516,37.56336507,127.0533063,217
다사608486,37.53633791,127.0568633,213
다사602501,37.54983222,127.0499908,167
다사598493,37.54260422,127.0455064,139
다사600500,37.54892223,127.0477322,351
다사591515,37.5624027,127.0374601,159
다사620505,37.55351345,127.0703474,48
다사605498,37.54714112,127.0534032,0
다사574493,37.54249653,127.0183395,439
다사599519,37.56604315,127.0464963,133
다사606492,37.5417374,127.0545674,261
다사581497,37.5461339,127.0262403,270
다사584513,37.56056873,127.0295457,356
다사579496,37.54522347,127.023982,278
다사570492,37.54157665,127.0138175,356
다사570499,37.54788594,127.0137766,346
다사588510,37.55788271,127.0340914,39
다사609486,37.53634215,127.0579951,175
다사612500,37.54897349,127.0613168,8
다사580498,37.54703069,127.0251026,133
다사608497,37.54625258,127.0568046,154
다사594510,37.55790932,127.0408846,0
다사578501,37.54972554,127.0228213,444
다사592515,37.56240713,127.0385924,89
다사579511,37.55874338,127.023896,240
다사593499,37.54799029,127.0398133,216
다사575504,37.55241575,127.0194078,92
다사569495,37.54427597,127.012668,148
다사592516,37.56330846,127.0385868,142
다사582503,37.55154641,127.0273382,719
다사590524,37.5705102,127.0362776,179
다사603502,37.55073786,127.0511175,310
다사609515,37.56248079,127.0578408,29
다사590508,37.55608896,127.036367,164
다사589515,37.56239381,127.0351956,25
다사617500,37.54899438,127.0669771,243
다사593515,37.56241155,127.0397246,77
다사606491,37.54083606,127.0545727,6
다사601496,37.54532124,127.0488859,30
다사612514,37.56159213,127.0612428,453
다사589504,37.5524792,127.0352572,362
다사586501,37.54976179,127.0318778,342
다사575505,37.55331708,127.019402,194
다사617503,37.55169838,127.0669614,197
다사567492,37.54156262,127.0104217,249
다사592519,37.56601244,127.0385702,115
다사593512,37.55970757,127.0397413,291
다사611491,37.54085728,127.0602324,75
다사588506,37.55427739,127.0341139,139
다사580514,37.56145192,127.0250111,592
다사595500,37.54890042,127.0420719,0
다사590519,37.56600357,127.0363055,95
다사578502,37.55062687,127.0228156,181
다사605488,37.53812779,127.0534569,181
다사606514,37.56156669,127.0544494,338
다사602518,37.56515483,127.0498987,33
다사595518,37.56512434,127.0419726,0
다사603515,37.56245515,127.0510472,32
다사614492,37.54177121,127.063623,0
다사604499,37.54803816,127.0522658,143
다사618504,37.55260386,127.0680883,268
다사598515,37.56243349,127.0453859,17
다사603501,37.54983653,127.0511229,0
다사592510,37.55790049,127.0386202,20
다사606497,37.54624406,127.0545406,113
다사597517,37.56423178,127.0442427,249
다사620508,37.55621745,127.0703319,370
다사603498,37.54713253,127.0511391,19
다사599488,37.53810191,127.0466656,268
다사600498,37.54711957,127.0477431,176
다사573492,37.54159058,127.0172133,21
다사571490,37.53977865,127.0149611,237
다사588516,37.56329067,127.0340578,246
다사592506,37.55429518,127.0386424,589
다사585521,37.56778385,127.0306327,192
다사602488,37.5381149,127.0500613,186
다사606499,37.54804672,127.0545298,143
다사591519,37.56600801,127.0374378,0
다사595523,37.56963098,127.041945,593
다사570501,37.54968859,127.0137648,253
다사598513,37.56063083,127.0453969,209
다사589525,37.57140707,127.0351396,50
다사606494,37.54354006,127.0545567,36
다사573499,37.54789988,127.0171726,157
다사599487,37.53720058,127.0466711,225
다사608496,37.54535125,127.0568099,203
다사572491,37.54068462,127.0160872,455
다사600511,37.55883687,127.0476722,6
다사583513,37.56056421,127.0284135,374
다사574502,37.55060848,127.0182873,104
다사580508,37.55604396,127.0250454,301
다사602489,37.53901623,127.0500559,97
다사582516,37.56326366,127.0272642,385
다사576499,37.54791372,127.0205687,174
다사581512,37.55965382,127.0261547,439
다사618513,37.56071585,127.0680415,67
다사583509,37.5569589,127.0284362,75
다사600502,37.5507249,127.0477213,562
다사575496,37.54520513,127.0194541,321
다사594509,37.55700799,127.0408901,168
다사588505,37.55337606,127.0341195,298
다사598489,37.53899889,127.0455282,274
다사589505,37.55338053,127.0352516,785
다사581505,37.55334453,127.0261947,583
다사580512,37.55964927,127.0250225,148
다사598497,37.54620955,127.0454845,108
다사582512,37.55965836,127.0272869,355
다사606516,37.56336935,127.0544386,350
다사603518,37.56515914,127.051031,154
다사575507,37.55511973,127.0193904,48
다사568492,37.54156731,127.0115537,9
다사598517,37.56423614,127.045375,371
다사583516,37.56326819,127.0283964,389
다사594522,37.56872525,127.0408182,18
다사586518,37.56508437,127.0317819,319
다사582501,37.54974376,127.0273496,301
다사572493,37.54248728,127.0160756,134
다사571498,37.54698927,127.0149144,67
다사599489,37.53900324,127.0466601,95
다사595519,37.56602567,127.0419671,18
다사584511,37.55876608,127.029557,336
다사596517,37.5642274,127.0431104,203
다사588514,37.56148802,127.034069,153
다사573494,37.54339324,127.0172017,11
다사591510,37.55789606,127.037488,0
다사597515,37.56242912,127.0442537,9
다사585511,37.55877058,127.0306892,383
다사609496,37.54535549,127.0579419,69
다사587511,37.55877956,127.0329536,102
다사598501,37.54981487,127.0454626,130
다사598518,37.56513747,127.0453695,475
다사614499,37.54808054,127.0635862,0
다사577499,37.54791831,127.0217008,112
다사566491,37.54065659,127.0092957,30
다사581514,37.56145647,127.0261433,357
다사570490,37.53977399,127.0138292,172
다사589512,37.55968982,127.0352124,173
다사584520,37.56687802,127.029506,559
다사574498,37.54700317,127.0183105,217
다사587500,37.54886495,127.0330155,217
다사597521,37.56783709,127.0442207,204
다사587502,37.55066761,127.0330043,278
다사588523,37.56959996,127.0340185,212
다사578503,37.5515282,127.0228098,510
다사582523,37.56957294,127.0272243,209
다사580524,37.57046518,127.0249538,868
다사581523,37.5695684,127.0260919,157
다사577506,37.5542276,127.0216605,355
다사582513,37.56055968,127.0272812,206
다사587505,37.55337159,127.0329874,547
다사587499,37.54796362,127.0330211,0
다사597502,37.55071184,127.044325,0
다사572490,37.53978329,127.0160931,334
다사597490,37.53989586,127.0443909,143
다사582524,37.57047427,127.0272186,0
다사600518,37.56514617,127.0476341,0
다사607514,37.56157096,127.0555816,0
다사607516,37.56337362,127.0555709,369
다사601492,37.54171591,127.0489077,146
다사610495,37.54445839,127.0590792,0
다사618500,37.54899853,127.0681091,0
다사589506,37.55428186,127.035246,285
다사598494,37.54350555,127.0455009,245
다사582505,37.55334907,127.0273268,163
다사581508,37.55604851,127.0261776,264
다사580507,37.55514264,127.0250511,208
다사579510,37.55784206,127.0239018,51
다사610498,37.54716239,127.0590633,150
다사609484,37.53453949,127.0580058,111
다사602491,37.5408189,127.050045,510
다사576509,37.55692699,127.020511,350
다사584516,37.56327271,127.0295287,70
다사615513,37.56070337,127.0646448,177
다사581504,37.5524432,127.0262004,360
다사579519,37.56595399,127.0238502,287
다사603492,37.54172454,127.0511716,216
다사570497,37.54608329,127.0137883,156
다사578506,37.55423218,127.0227926,616
다사590509,37.55699029,127.0363614,58
다사583512,37.55966289,127.0284192,610
다사580510,37.55784662,127.025034,349
다사573505,37.55330784,127.0171378,0
다사602494,37.54352289,127.0500288,8
다사580520,37.56685988,127.0249767,410
다사587501,37.54976628,127.0330099,157
다사611500,37.54896927,127.0601848,10
다사579499,37.54792746,127.0239648,69
다사593510,37.55790491,127.0397524,25
다사585513,37.56057324,127.0306779,217
다사607485,37.53543233,127.0557368,146
다사599490,37.53990458,127.0466547,76
다사569491,37.54067066,127.0126915,168
다사593516,37.56331288,127.0397191,547
다사585507,37.55516527,127.0307118,190
다사603490,37.53992187,127.0511824,29
다사591524,37.57051464,127.03741,95
다사594524,37.57052791,127.0408071,0
다사579514,37.56144736,127.0238788,0
다사601514,37.56154519,127.0487881,465
다사568491,37.54066598,127.0115595,221
다사576505,37.55332168,127.0205341,223
다사607486,37.53633366,127.0557314,208
다사619505,37.55350933,127.0692153,158
다사590512,37.55969428,127.0363446,39
다사568495,37.54427129,127.011536,157
다사606500,37.54894806,127.0545245,215
다사584502,37.55065413,127.029608,513
다사582511,37.55875703,127.0272926,454
다사609492,37.54175016,127.0579632,9
다사584518,37.56507536,127.0295174,392
다사599495,37.54441124,127.0466274,243
다사606488,37.53813206,127.0545888,110
다사613492,37.54176702,127.062491,7
다사604514,37.56155812,127.0521849,209
다사591521,37.56781066,127.0374267,99
다사588518,37.56509333,127.0340465,165
다사617504,37.55259971,127.0669562,66
다사584517,37.56417404,127.029523,177
다사588508,37.55608005,127.0341027,107
다사601515,37.56244652,127.0487827,212
다사586522,37.56868967,127.0317594,228
다사611487,37.53725194,127.0602536,33
다사598522,37.56874278,127.0453476,43
다사611485,37.53544927,127.0602642,17
다사574507,37.55511512,127.0182583,380
다사615496,37.54538072,127.0647339,6
다사598495,37.54440688,127.0454954,154
다사617502,37.55079705,127.0669667,297
다사607497,37.54624832,127.0556726,459
다사572501,37.5496979,127.016029,612
다사575498,37.54700779,127.0194425,144
다사576510,37.55782831,127.0205052,166
다사570495,37.54428063,127.0138,370
다사610494,37.54355706,127.0590845,0
다사576507,37.55512433,127.0205226,24
다사572502,37.55059922,127.0160231,571
다사610486,37.53634638,127.059127,179
다사595508,37.55611106,127.0420278,215
다사599518,37.56514183,127.0465018,294
다사585512,37.55967191,127.0306836,390
다사585501,37.5497573,127.0307458,86
다사599512,37.55973385,127.0465346,563
다사600489,37.53900758,127.0477921,126
다사616496,37.54538489,127.0658659,212
