GID,위도,경도,생활인구수,가까운 지하철역,지하철역까지거리(m)
다사584521,37.56777934,127.0295004,537,상왕십리,368.39
다사574494,37.54339786,127.0183337,435,옥수,214.25
다사585517,37.56417854,127.0306553,42,상왕십리,161.29
다사600492,37.54171158,127.0477757,216,서울숲역,349.59
다사583517,37.56416952,127.0283907,241,상왕십리,56.42
다사593519,37.56601686,127.0397025,247,마장,283.73
다사592520,37.56691377,127.0385646,482,마장,395.37
다사573502,37.55060386,127.0171552,237,금호,286.35
다사622511,37.55892967,127.0725807,176,신답,1458.46
다사591511,37.55879739,127.0374824,73,왕십리,315.18
다사571497,37.54608794,127.0149203,487,금호,254.22
다사621510,37.55802423,127.0714537,75,신답,1385.54
다사611490,37.53995594,127.0602377,142,성수,640.79
다사605513,37.56066108,127.0533225,132,용답,275.44
다사601487,37.53720925,127.0489348,254,서울숲역,811.57
다사589509,37.55698584,127.0352292,150,왕십리,464.67
다사602486,37.53631223,127.0500721,130,서울숲역,947.29
다사615494,37.54357805,127.0647444,52,성수,781.22
다사611497,37.54626528,127.0602006,107,성수,414.01
다사601493,37.54261724,127.0489022,125,서울숲역,389.97
다사600501,37.54982357,127.0477267,456,뚝섬,295.25
다사604501,37.54984082,127.052255,20,뚝섬,519.38
다사588517,37.564192,127.0340521,251,왕십리,360.75
다사593525,37.57142482,127.0396692,43,마장,661.21
다사587523,37.56959548,127.0328861,60,상왕십리,667.6
다사612497,37.54626949,127.0613327,23,성수,505.73
다사609514,37.56157946,127.0578461,167,신답,132.61
다사574503,37.55150981,127.0182815,195,신금호,381.87
다사586520,37.56688702,127.0317707,179,상왕십리,368.09
다사569499,37.54788127,127.0126445,307,금호,280.2
다사619506,37.55441066,127.0692101,277,신답,1378.99
다사587522,37.56869416,127.0328917,400,상왕십리,585.33
다사610514,37.56158369,127.0589783,182,신답,232.19
다사579524,37.57046062,127.0238215,133,상왕십리,798.03
다사579498,37.54702613,127.0239706,320,금호,734.76
다사608490,37.53994325,127.0568419,80,성수,526.4
다사613493,37.54266835,127.0624857,0,성수,613.33
다사587519,37.56599018,127.0329086,146,상왕십리,392.29
다사608485,37.53543658,127.0568686,407,성수,1025.02
다사612496,37.54536815,127.0613379,0,성수,479.23
다사569493,37.54247331,127.0126797,350,옥수,417.7
다사576503,37.55151903,127.0205457,249,신금호,332.15
다사618501,37.54989986,127.0681039,97,성수,1218.82
다사585522,37.56868517,127.030627,536,상왕십리,489.98
다사588507,37.55517872,127.0341083,159,행당,470.94
다사607515,37.56247229,127.0555762,100,신답,130.57
다사598503,37.55161753,127.0454516,21,뚝섬,522.85
다사592524,37.57051908,127.0385424,54,마장,627.78
다사598492,37.54170289,127.0455118,362,서울숲역,232.03
다사601512,37.55974253,127.048799,130,용답,326.13
다사583503,37.55155094,127.0284703,85,행당,645.13
다사591518,37.56510668,127.0374434,270,왕십리,349.14
다사621508,37.55622157,127.071464,100,신답,1454.64
다사593524,37.5705235,127.0396747,149,마장,572.3
다사587503,37.55156894,127.0329986,342,행당,708.36
다사612491,37.54086149,127.0613643,0,성수,632.86
다사584505,37.55335811,127.029591,326,행당,438.09
다사607490,37.53993899,127.05571,13,성수,521.95
다사579497,37.5461248,127.0239763,458,금호,760.49
다사613514,37.56159633,127.0623751,259,신답,531.44
다사605487,37.53722645,127.0534623,204,성수,852.49
다사595509,37.55701239,127.0420223,320,한양대,139.18
다사599501,37.54981922,127.0465946,306,뚝섬,302.21
다사619502,37.55080533,127.0692308,0,성수,1354.95
다사591520,37.56690934,127.0374323,82,마장,492.77
다사571494,37.54338396,127.0149378,254,옥수,283.78
다사609499,37.54805949,127.057926,0,성수,418.25
다사566492,37.54155792,127.0092898,151,옥수,706.58
다사577495,37.54431299,127.0217238,369,옥수,489.29
다사608489,37.53904191,127.0568473,415,성수,625.8
다사583504,37.55245227,127.0284646,147,행당,546.12
다사596500,37.5489048,127.043204,43,뚝섬,417.7
다사614500,37.54898188,127.0635809,127,성수,826.48
다사610489,37.53905039,127.0591111,141,성수,678.76
다사599513,37.56063518,127.0465291,306,용답,418.26
다사583523,37.56957747,127.0283566,199,상왕십리,565.97
다사603516,37.56335648,127.0510418,192,용답,131.74
다사596522,37.56873404,127.0430829,788,마장,297.02
다사577500,37.54881963,127.021695,176,금호,524.61
다사601513,37.56064386,127.0487936,223,용답,249.46
다사598502,37.5507162,127.0454571,179,뚝섬,429.35
다사601522,37.56875582,127.0487446,93,답십리,405.96
다사579502,37.55063144,127.0239476,697,신금호,532.04
다사584508,37.55606209,127.029574,654,행당,137.55
다사571495,37.54428529,127.0149319,346,옥수,359.69
다사572494,37.54338861,127.0160698,207,옥수,221.51
다사585502,37.55065863,127.0307401,430,행당,746.44
다사603495,37.54442853,127.0511553,285,성수,426.21
다사580513,37.5605506,127.0250168,549,행당,534.61
다사581515,37.5623578,127.0261376,157,상왕십리,339.18
다사589510,37.55788717,127.0352236,65,왕십리,364.66
다사606489,37.5390334,127.0545835,27,성수,634.21
다사611489,37.53905461,127.060243,57,성수,724.66
다사599497,37.5462139,127.0466165,197,뚝섬,128.34
다사573503,37.55150519,127.0171494,30,금호,379.42
다사568497,37.54607394,127.0115243,307,금호,447.96
다사607484,37.53453099,127.0557421,58,성수,1122.94
다사591523,37.56961332,127.0374156,59,마장,625.33
다사599500,37.54891789,127.0466001,479,뚝섬,206.11
