GID,위도,경도,생활인구수,가까운 지하철역,지하철역까지거리(m),격자 내 정류장수
다사586503,37.55156445,127.0318665,334.0,행당,671.19,0.0
다사579500,37.54882878,127.0239591,273.0,신금호,704.63,0.0
다사616501,37.54989156,127.0658398,339.0,성수,1047.71,0.0
다사605485,37.53542379,127.0534731,212.0,성수,1047.11,0.0
다사605501,37.54984511,127.053387,284.0,뚝섬,604.32,0.0
다사589521,37.56780177,127.035162,277.0,상왕십리,664.69,0.0
다사578498,37.54702156,127.0228386,288.0,금호,637.13,0.0
다사582500,37.54884243,127.0273553,555.0,신금호,878.6,0.0
다사578496,37.5452189,127.02285,357.0,옥수,629.6,0.0
다사600488,37.53810625,127.0477975,332.0,서울숲역,678.18,0.0
다사580500,37.54883334,127.0250912,244.0,신금호,753.92,0.0
다사590506,37.55428631,127.0363781,998.0,한양대,677.96,0.0
다사619504,37.55260799,127.0692204,371.0,성수,1466.03,0.0
다사585503,37.55155996,127.0307344,374.0,행당,647.41,0.0
다사618503,37.55170253,127.0680935,268.0,성수,1326.17,0.0
다사581498,37.54703523,127.0262346,360.0,금호,931.4,0.0
