GID,위도,경도,생활인구수,지하철역까지거리_m_,격자_내_정류장수,법정동명,법정동_주민등록인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수,노선_수_,인가대수_대__합계_,배차간격_분__평균_,최소배차_분__평균_,최대배차_분__평균_,총하차인원_lightgbm
다사516450,37.50345364,126.9529699,431,449.01,0,상도1동,9802,3,10,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7771.378174721624
다사537431,37.48643601,126.9768477,309,441.78,0,사당동,95821,0,13,25,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7843.3364439199795
다사517439,37.49354429,126.9541734,393,305.28,0,상도동,114034,0,4,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14806.19571247787
다사506445,37.49889409,126.9416899,339,701.81,0,상도동,114034,2,16,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,5533.325812203148
다사505447,37.50069139,126.9405452,394,480.93,0,상도동,114034,5,8,13,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14381.410608028495
다사539421,37.47743269,126.9791725,328,238.76,0,사당동,95821,1,6,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14218.87300797578
다사491451,37.5042206,126.9246793,310,253.22,0,대방동,34112,3,14,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,5022.311867681693
다사533453,37.50624513,126.9721838,318,764.91,0,흑석동,30047,3,4,6,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13745.216792806581
다사536421,37.47741768,126.9757796,443,525.58,0,사당동,95821,0,3,4,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14153.907000596402
다사512447,37.50072863,126.9484644,292,233.68,0,상도동,114034,2,9,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13288.529130930097
다사521440,37.49446644,126.9586917,361,487.45,0,상도동,114034,2,7,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,17840.260636476632
다사514456,37.50885109,126.9506675,437,482.96,0,본동,10520,5,13,23,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7563.551336315786
다사521450,37.5034797,126.9586266,405,752.25,0,흑석동,30047,0,5,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13530.32095498358
다사532420,37.47649619,126.9712621,332,695.84,0,사당동,95821,1,2,2,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13819.41392707212
다사525437,37.4917831,126.9632359,376,981.3,0,사당동,95821,1,4,9,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14399.51603367644
다사535425,37.48101799,126.9746234,472,512.59,0,사당동,95821,0,1,7,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14153.907000596402
다사503457,37.50969387,126.9382151,279,543.88,0,노량진동,30270,0,4,8,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13188.041938378603
다사535429,37.48462331,126.9745982,263,308.04,0,사당동,95821,2,16,24,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9181.98063296432
다사490437,37.49159658,126.9236449,819,155.07,0,신대방동,45025,7,14,18,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,6228.623491813271
다사494447,37.50063179,126.9281009,405,102.24,0,대방동,34112,2,12,22,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,4760.406424073625
