GID,위도,경도,생활인구수,지하철역까지거리_m_,격자_내_정류장수,법정동명,법정동_주민등록인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수,노선_수_,인가대수_대__합계_,배차간격_분__평균_,최소배차_분__평균_,최대배차_분__평균_,총승차인원
다사495448,37.50153859,126.9292253,320,221.19,0,상도동,114034,1,8,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10733.868643852782
다사513449,37.50253655,126.9495824,289,146.82,0,상도1동,9802,4,11,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11730.051725798681
다사496449,37.50244537,126.9303498,296,356.94,0,상도동,114034,0,5,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14592.655524134469
다사476434,37.4888143,126.90783,495,501.4,0,신대방동,45025,4,11,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13676.640538067692
다사534420,37.47650629,126.973524,246,715.41,0,사당동,95821,2,2,4,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10897.113875340643
다사536424,37.48012168,126.9757607,392,652.96,0,사당동,95821,0,0,2,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11224.744357663109
다사515446,37.4998431,126.9518649,319,428.59,0,상도동,114034,3,9,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,16607.810115466265
다사478434,37.48882562,126.9100923,248,315.72,0,신대방동,45025,0,10,16,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12598.342152630421
다사512444,37.49802465,126.9484842,280,496.18,0,상도동,114034,0,2,4,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13585.393786408184
다사518459,37.51157602,126.9551736,341,213.24,0,본동,10520,3,13,23,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7508.070577737161
다사514440,37.49442989,126.9507732,633,325.1,0,상도동,114034,0,1,8,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11736.675274663663
