GID,위도,경도,생활인구수,지하철역까지거리(m),격자_내_정류장수,법정동명,법정동_주민등록인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수,노선(수),"인가대수(대, 합계)","배차간격(분, 평균)","최소배차(분, 평균)","최대배차(분, 평균)",총하차인원_lr
다사492442,37.49611421,126.9258728,344,393.71,0,신대방동,45025,0,8,16,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8896.25626189339
다사510441,37.49531009,126.9462417,242,661.93,0,상도동,114034,0,7,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8208.926508257378
다사513442,37.49622728,126.9496287,387,354.69,0,상도동,114034,0,1,7,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12798.442741381516
다사512442,37.496222,126.9484975,338,454.49,0,상도동,114034,0,0,3,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13433.85049040225
다사481438,37.4924478,126.9134574,299,539.41,0,신대방동,45025,0,3,11,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9315.08889519213
다사516450,37.50345364,126.9529699,431,449.01,0,상도1동,9802,3,10,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8794.542479545753
다사537431,37.48643601,126.9768477,309,441.78,0,사당동,95821,0,13,25,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7969.335401404745
다사517439,37.49354429,126.9541734,393,305.28,0,상도동,114034,0,4,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10078.251703123646
다사506445,37.49889409,126.9416899,339,701.81,0,상도동,114034,2,16,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8966.518991905015
다사505447,37.50069139,126.9405452,394,480.93,0,상도동,114034,5,8,13,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13782.689384008636
다사539421,37.47743269,126.9791725,328,238.76,0,사당동,95821,1,6,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11654.220737570644
