NODE_ID,정류소명,X좌표,Y좌표,법정동명
103000089,상원,127.0466619,37.55174774,성수동1가
103000090,영동대교북단,127.0607393,37.53694242,성수동2가
103000091,경수중학교,127.0624289,37.53976026,성수동2가
103000092,성수119안전센터,127.0601321,37.53734169,성수동2가
103000093,성수119안전센터,127.059997,37.537532,성수동2가
103000094,경수중학교,127.0570118,37.53816503,성수동2가
103000095,경수중학교,127.0572982,37.53828654,성수동2가
103000096,뚝도시장,127.0553996,37.53858661,성수동2가
103000097,뚝도시장,127.0552588,37.53885073,성수동2가
103000098,성원중성수동이마트앞,127.0534265,37.53909394,성수동2가
103000099,성원중성수동이마트앞,127.052845,37.539511,성수동2가
103000100,서울숲지구대앞,127.0523417,37.53786772,성수동2가
103000101,서울숲지구대앞,127.0522589,37.53805092,성수동2가
103000102,뚝도시장구길,127.05527,37.537192,성수동2가
103000103,뚝도시장구길,127.0549268,37.53755207,성수동2가
103000104,성수동진주타운,127.0574889,37.53661744,성수동2가
103000105,성수동진주타운,127.0574923,37.53675909,성수동2가
103000106,영동대교,127.059982,37.536356,성수동2가
103000107,영동대교,127.0600657,37.53643821,성수동2가
103000108,화양사거리,127.0666629,37.54727767,성수동2가
103000109,성수사거리.성수초등학교,127.0641613,37.54282189,성수동2가
103000110,서울효사랑병원,127.0632745,37.54126364,성수동2가
103000111,성수2가3동주민센터,127.0553884,37.54962437,성수동2가
103000112,제인병원,127.0568367,37.54935113,송정동
103000113,성동세무서앞,127.0621854,37.54799468,성수동2가
103000114,성동세무서,127.0643373,37.54823913,송정동
103000115,송정동서울숲아이파크,127.0692473,37.55182548,송정동
103000116,송정동건영아파트,127.07115,37.555205,송정동
103000117,군자교남단,127.0724415,37.55753716,송정동
103000118,신답역,127.0475026,37.57021108,용답동
103000119,용답동로데오거리.답십리역,127.0539458,37.56570333,용답동
103000120,서울교통공사.서울새활용플라자,127.0569134,37.5620495,용답동
103000121,뚝섬서울숲,127.0366012,37.54461804,성수동1가
103000122,뚝섬서울숲,127.0363946,37.54567186,성수동1가
103000125,사근동하이츠아파트앞,127.048606,37.56119842,사근동
103000126,사근동하이츠아파트앞,127.0486882,37.56130618,사근동
103000127,사근동주민센터,127.0456489,37.56081442,사근동
103000128,사근동주민센터,127.0457112,37.56093153,사근동
103000129,사근고개,127.0445909,37.56116171,사근동
103000130,사근고개,127.0445102,37.56125556,사근동
103000131,한양지구대,127.0420211,37.56021435,행당동
103000132,한양지구대,127.0419242,37.56024458,행당동
103000133,사근동벽산아파트,127.0499269,37.5601892,사근동
103000134,뚝섬역8번출구,127.0455095,37.54769283,성수동1가
103000135,뚝섬역2번출구,127.046846,37.547575,성수동1가
103000136,뚝섬역5번출구,127.0492754,37.54648034,성수동1가
103000137,뚝섬역4번출구,127.0492756,37.54680019,성수동1가
103000138,성수역1번출구,127.0538294,37.54541968,성수동2가
103000139,SK테크노빌딩앞,127.050228,37.545888,성수동2가
103000140,SK테크노빌딩앞,127.0500259,37.54576985,성수동1가
103000141,경동초등학교입구,127.0494809,37.54377243,성수동1가
103000142,경동초등학교입구,127.0492129,37.5433913,성수동1가
103000143,경일초등학교앞,127.0482363,37.54076843,성수동1가
103000144,경일초등학교앞,127.0481685,37.54091938,성수동1가
103000145,한양여대앞,127.0503,37.55951,사근동
103000150,도선고등학교.꽃재교회,127.0277828,37.56709321,하왕십리동
103900215,성수역4번출구,127.0545807,37.54478786,성수동2가
103000152,리버하우스,127.0510061,37.55090026,성수동1가
103000153,리버하우스,127.0506905,37.5512302,성수동1가
103900213,성수사거리,127.062352,37.542562,성수동2가
103900214,성수사거리,127.0623621,37.54279808,성수동2가
103000156,성동제일새마을금고,127.0471033,37.5608116,사근동
103000157,성동제일새마을금고,127.0473013,37.56088413,사근동
103000159,청계9가.텐즈힐2단지정문앞,127.0255654,37.57074945,상왕십리동
103000162,뚝섬서울숲,127.0375619,37.54345278,성수동1가
