GID,위도,경도,생활인구수,지하철역까지거리_m_,격자_내_정류장수,법정동명,법정동_주민등록인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수,노선_수_,인가대수_대__합계_,배차간격_분__평균_,최소배차_분__평균_,최대배차_분__평균_,총승차인원
다사610487,37.53724772,127.0591217,308.0,866.05,0.0,성수동2가,23518,7,12,20,5,133,16.42,6.39,19.56,21855.731725289468
다사581522,37.56866708,127.0260976,303.0,523.53,0.0,하왕십리동,29847,2,11,18,9,0,3.25,0.04,16.14,21414.223038264496
다사567493,37.54246395,127.0104158,325.0,613.88,0.0,옥수동,25184,4,19,24,1,34,15.84,0.71,17.86,7982.992021696271
다사579523,37.56955929,127.0238272,364.0,716.72,0.0,상왕십리동,3685,2,9,13,1,1,7.64,11.31,10.38,395.69223377737853
다사597489,37.53899453,127.0443963,432.0,522.19,0.0,성수동1가,27925,0,5,11,1,5,22.12,10.15,21.21,1674.470974685275
다사583502,37.55064961,127.0284759,319.0,744.46,0.0,금호동1가,14500,2,26,38,1,1,10.8,13.32,18.77,1935.610880120251
다사578511,37.55873881,127.0227638,431.0,514.82,0.0,신당동,65238,3,8,20,9,8,10.75,10.23,19.59,17536.79562591733
다사617511,37.55890904,127.0669197,325.0,974.39,0.0,용답동,11989,0,4,4,0,17,19.59,12.86,9.6,9877.749476892262
다사590507,37.55518763,127.0363726,835.0,647.42,0.0,행당동,41616,2,19,37,17,19,10.43,14.37,22.16,31703.969592133377
다사604487,37.53722217,127.0523304,216.0,884.22,0.0,성수동2가,23518,2,8,19,1,22,18.0,17.62,21.7,4836.286173005011
다사580502,37.550636,127.0250797,315.0,595.78,0.0,금호동2가,9111,2,17,32,0,71,19.07,10.18,19.77,1895.6846166958665
다사591506,37.55429075,127.0375103,322.0,586.48,0.0,행당동,41616,4,13,26,8,347,20.66,20.64,16.95,22738.47811268879
다사589508,37.55608451,127.0352348,266.0,524.72,0.0,행당동,41616,9,20,38,0,36,16.39,4.54,25.48,9752.588944295896
다사579521,37.56775664,127.0238387,253.0,572.38,0.0,상왕십리동,3685,4,10,20,16,6,8.49,5.47,22.61,31189.845607029492
다사613494,37.54356969,127.0624805,272.0,584.81,0.0,성수동2가,23518,2,9,12,1,3,13.62,15.91,20.69,1476.0588990671326
다사600487,37.53720492,127.0478029,256.0,771.09,0.0,성수동1가,27925,0,4,6,0,59,9.67,10.39,19.13,3336.182470442269
다사603486,37.53631654,127.051204,408.0,1000.64,0.0,성수동2가,23518,0,4,9,2,4,20.01,11.06,22.7,3173.9813849731454
다사601489,37.53901191,127.048924,339.0,639.87,0.0,성수동1가,27925,2,9,19,0,7,15.86,9.0,15.87,2016.6580905993555
다사586502,37.55066312,127.0318722,212.0,767.16,0.0,응봉동,14593,9,19,28,3,311,6.47,15.84,16.43,21476.50776225933
다사580501,37.54973467,127.0250854,249.0,672.03,0.0,금호동3가,11670,2,21,34,0,37,11.31,11.39,23.76,5095.198952684041
다사577496,37.54521432,127.0217181,272.0,555.28,0.0,금호동4가,14021,0,9,22,5,3,13.39,12.87,10.89,12462.134538959534
다사586523,37.569591,127.0317537,325.0,620.05,0.0,홍익동,3638,1,6,11,0,27,13.21,4.11,13.29,11216.185609526383
다사598488,37.53809756,127.0455337,353.0,625.74,0.0,성수동1가,27925,1,2,10,2,87,21.9,11.84,23.97,8460.314669982965
다사590505,37.55338498,127.0363837,302.0,721.24,0.0,응봉동,14593,2,20,28,2,50,17.27,13.84,22.24,5176.681036999494
다사606486,37.5363294,127.0545996,238.0,930.79,0.0,성수동2가,23518,3,10,16,8,67,10.91,11.6,19.31,15099.691925438743
다사588520,37.56689598,127.0340353,227.0,527.11,0.0,홍익동,3638,2,5,12,0,9,15.91,17.55,21.59,1363.0505079625448
다사586503,37.55156445,127.0318665,334.0,671.19,0.0,응봉동,14593,4,26,36,6,1,15.75,19.25,18.78,3105.440280515422
다사579500,37.54882878,127.0239591,273.0,704.63,0.0,금호동3가,11670,5,18,32,0,59,12.62,23.08,13.0,8987.148153466407
다사616501,37.54989156,127.0658398,339.0,1047.71,0.0,송정동,9477,2,8,16,0,156,14.38,12.47,20.61,10688.908546908177
다사605485,37.53542379,127.0534731,212.0,1047.11,0.0,성수동2가,23518,0,4,8,3,2,14.25,5.81,22.72,2748.3879746870152
다사605501,37.54984511,127.053387,284.0,604.32,0.0,성수동2가,23518,1,4,5,2,1,6.58,11.94,14.27,3586.2448197695367
다사589521,37.56780177,127.035162,277.0,664.69,0.0,마장동,21338,0,5,7,6,59,9.75,12.12,21.23,11032.951317112324
다사578498,37.54702156,127.0228386,288.0,637.13,0.0,금호동4가,14021,4,19,32,3,0,21.94,14.1,14.46,8990.911717661322
다사582500,37.54884243,127.0273553,555.0,878.6,0.0,금호동1가,14500,8,18,28,2,38,11.08,15.57,15.54,9045.683417974149
다사578496,37.5452189,127.02285,357.0,629.6,0.0,금호동4가,14021,2,8,21,0,0,12.04,6.99,12.44,3354.811425521273
다사600488,37.53810625,127.0477975,332.0,678.18,0.0,성수동1가,27925,0,5,12,1,44,10.52,12.74,15.15,5125.378044488965
다사580500,37.54883334,127.0250912,244.0,753.92,0.0,금호동3가,11670,6,20,29,1,8,20.17,11.98,15.94,447.21859779679437
다사590506,37.55428631,127.0363781,998.0,677.96,0.0,행당동,41616,4,22,28,3,146,16.95,9.38,14.5,13512.148298321566
다사619504,37.55260799,127.0692204,371.0,1466.03,0.0,송정동,9477,3,7,11,0,0,23.81,12.21,21.97,4911.849290267495
다사585503,37.55155996,127.0307344,374.0,647.41,0.0,응봉동,14593,6,23,37,1,9,10.92,15.09,17.52,1487.172598048146
다사618503,37.55170253,127.0680935,268.0,1326.17,0.0,송정동,9477,5,9,11,3,67,9.9,9.29,13.61,6362.084630454212
다사581498,37.54703523,127.0262346,360.0,931.4,0.0,금호동4가,14021,6,16,19,9,85,19.98,16.33,27.61,17235.452375403118
